movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
Recess: School's Out,2/16/2001,Comedy,G,C,Chuck Sheetz,2001,2,16,YES
D2: The Mighty Ducks,3/25/1994,Comedy,PG,B,Sam Weisman,1994,3,25,NO
Home on the Range,4/2/2004,Comedy,PG,C,Will Finn,2004,4,2,YES
Young Black Stallion,12/25/2003,Adventure,G,D,Simon Wincer,2003,12,25,NO
What's Love Got to Do With It,6/9/1993,Drama,R,B,Brian Gibson,1993,6,9,NO
Lady and the Tramp,6/22/2055,Drama,G,S,Hamilton Luske,1955,6,22,NO
Corky Romano,10/12/2001,Comedy,PG-13,C,Rob Pritts,2001,10,12,NO
The Waterboy,11/6/1998,Comedy,PG-13,A,Frank Coraci,1998,11,6,NO
Captain America: The Winter Soldier,4/4/2014,Action,PG-13,A,Anthony Russo,2014,4,4,NO
Pirates of the Caribbean: Dead Man’…,7/7/2006,Adventure,PG-13,S,Gore Verbinski,2006,7,7,NO
Ladder 49,10/1/2004,Action,PG-13,B,Jay Russell,2004,10,1,NO
Coyote Ugly,8/4/2000,Drama,PG-13,B,David McNally,2000,8,4,NO
The Sixth Man,3/28/1997,Comedy,PG-13,C,Randall Miller,1997,3,28,NO
Dick Tracy,6/15/1990,Action,PG,A,Warren Beatty,1990,6,15,NO
Sister Act 2 Back in the Habit,12/10/1993,Comedy,PG,B,Bill Duke,1993,12,10,YES
DuckTales: The Movie - Treasure of th…,8/3/1990,Adventure,G,C,Bob Hathcock,1990,8,3,NO
Blame it on the Bellboy,3/6/1992,Comedy,PG-13,D,Mark Herman,1992,3,6,YES
The Hunchback of Notre Dame,6/21/1996,Adventure,G,B,Gary Trousdale,1996,6,21,NO
Ernest Goes to Jail,4/6/1990,Comedy,PG,C,John R. Cherry III,1990,4,6,NO
Ant-Man,7/17/2015,Action,PG-13,B,NO_DIRECTOR,2015,7,17,NO
The Shaggy Dog,3/10/2006,Comedy,PG,B,Brian Robbins,2006,3,10,NO
The Life Aquatic with Steve Zissou,12/10/2004,Comedy,R,C,Wes Anderson,2004,12,10,NO
Bridge to Terabithia,2/16/2007,Drama,PG,B,Gábor Csupó,2007,2,16,YES
Beauty and the Beast,11/13/1991,Musical,G,A,Gary Trousdale,1991,11,13,NO
Miami Rhapsody,1/27/1995,Romantic Comedy,PG-13,D,David Frankel,1995,1,27,NO
A Bug's Life,11/20/1998,Adventure,G,A,John Lasseter,1998,11,20,NO
3 Men and a Little Lady,11/21/1990,Comedy,PG,B,Emile Ardolino,1990,11,21,NO
The Puppet Masters,10/21/1994,Horror,R,D,Stuart Orme,1994,10,21,NO
Signs,8/2/2002,Thriller/Suspense,PG-13,A,M. Night Shyamalan,2002,8,2,NO
Dead Presidents,10/4/1995,Drama,R,C,Albert Hughes,1995,10,4,NO
"McFarland, USA",2/20/2015,Drama,PG,C,Niki Caro,2015,2,20,NO
George Of The Jungle,7/16/1997,Comedy,PG,B,Sam Weisman,1997,7,16,NO
Bound by Honor,4/16/1993,Crime,R,D,Taylor Hackford,1993,4,16,NO
The Avengers,5/4/2012,Action,PG-13,S,Joss Whedon,2012,5,4,NO
Ten Things I Hate About You,3/31/1999,Romantic Comedy,PG-13,C,Andre Paras,1999,3,31,NO
Earth,4/22/2009,Documentary,G,C,NO_DIRECTOR,2009,4,22,NO
Hello Again,11/6/1987,Comedy,PG,C,Tom Gustafson,1987,11,6,YES
When a Man Loves a Woman,4/29/1994,Drama,R,B,Luis Mandoki,1994,4,29,NO
Unbreakable,11/22/2000,Thriller/Suspense,PG-13,B,NO_DIRECTOR,2000,11,22,YES
3 Men and a Baby,11/25/1987,Comedy,PG,A,Leonard Nimoy,1987,11,25,NO
X Games 3D: The Movie,8/21/2009,Documentary,PG,D,Steven Lawrence,2009,8,21,NO
Cars 2,6/24/2011,Adventure,G,A,John Lasseter,2011,6,24,NO
The Princess Diaries 2: Royal Engagement,8/11/2004,Romantic Comedy,G,B,Garry Marshall,2004,8,11,NO
The Jungle Book 2,2/14/2003,Adventure,G,C,Steve Trenbirth,2003,2,14,NO
Aspen Extreme,1/22/1993,Romantic Comedy,PG-13,D,Patrick Hasburgh,1993,1,22,NO
Noises Off...,3/20/1992,Comedy,PG-13,D,Peter Bogdanovich,1992,3,20,NO
He Got Game,5/1/1998,Drama,R,C,Spike Lee,1998,5,1,NO
Bringing Down the House,3/7/2003,Comedy,PG-13,B,Adam Shankman,2003,3,7,NO
Bon Voyage!,5/17/2062,Comedy,Not Rated,B,Jean-Paul Rappeneau,1962,5,17,NO
Doctor Strange,11/4/2016,Adventure,PG-13,A,NO_DIRECTOR,2016,11,4,NO
Flubber,11/26/1997,Comedy,PG,B,Les Mayfield,1997,11,26,NO
Roving Mars,1/27/2006,Documentary,G,D,George Butler,2006,1,27,YES
Captain Ron,9/18/1992,Comedy,PG-13,C,Thom Eberhardt,1992,9,18,NO
Shadow Conspiracy,1/31/1997,Thriller/Suspense,R,D,George P. Cosmatos,1997,1,31,NO
Good Morning Vietnam,12/23/1987,Comedy,R,A,Barry Levinson,1987,12,23,NO
Babes in Toyland,12/14/2061,Musical,G,B,NO_DIRECTOR,1961,12,14,NO
An Innocent Man,10/6/1989,Drama,R,C,Peter Yates,1989,10,6,NO
Summer of Sam,7/2/1999,Drama,R,C,Spike Lee,1999,7,2,NO
The Good Dinosaur,11/25/2015,Adventure,PG,B,Peter Sohn,2015,11,25,NO
Angels in the Outfield,7/15/1994,Comedy,PG,B,William Dear,1994,7,15,NO
Tough Guys,10/3/1986,Comedy,PG,C,Jeff Kanew,1986,10,3,NO
Something Wicked This Way Comes,4/29/1983,Horror,PG,D,Jack Clayton,1983,4,29,NO
The Rocketeer,6/21/1991,Action,PG,B,Joe Johnston,1991,6,21,NO
Stakeout,8/5/1987,Comedy,R,B,John Badham,1987,8,5,YES
National Treasure 2: Book of Secrets,12/21/2007,Adventure,PG,A,Jon Turteltaub,2007,12,21,NO
Terminal Velocity,9/23/1994,Action,PG-13,C,Deran Sarafian,1994,9,23,NO
Apocalypto,12/8/2006,Adventure,R,C,Mel Gibson,2006,12,8,NO
Invincible,8/25/2006,Drama,PG,B,NO_DIRECTOR,2006,8,25,NO
25th Hour,12/19/2002,Drama,R,D,Spike Lee,2002,12,19,NO
Mighty Joe Young,12/25/1998,Adventure,PG,B,Ron Underwood,1998,12,25,NO
Deceived,9/27/1991,Thriller/Suspense,PG-13,C,NO_DIRECTOR,1991,9,27,NO
Never Cry Wolf,10/7/1983,Drama,PG,B,Carroll Ballard,1983,10,7,NO
G-Force,7/24/2009,Adventure,PG,B,Hoyt Yeatman,2009,7,24,NO
Feast of July,10/13/1995,Drama,R,D,Christopher Menaul,1995,10,13,NO
The Lookout,3/30/2007,Drama,R,D,Scott Frank,2007,3,30,NO
Cool Runnings,10/1/1993,Comedy,PG,B,Jon Turteltaub,1993,10,1,NO
Alice Through the Looking Glass,5/27/2016,Adventure,PG,B,James Bobin,2016,5,27,NO
The Devil and Max Devlin,1/1/1981,Fantasy,PG,C,Steven Hilliard Stern,1981,1,1,NO
The Chronicles of Narnia: Prince Caspian,5/16/2008,Adventure,PG,B,Andrew Adamson,2008,5,16,NO
The Insider,11/5/1999,Drama,R,C,Michael Mann,1999,11,5,YES
Camp Nowhere,8/26/1994,Comedy,PG,C,Jonathan Prince,1994,8,26,NO
The Rock,6/7/1996,Action,R,A,Michael Bay,1996,6,7,NO
Green Card,12/25/1990,Romantic Comedy,PG-13,C,Peter Weir,1990,12,25,NO
Real Steel,10/7/2011,Action,PG-13,B,Shawn Levy,2011,10,7,NO
A Kid in King Arthur's Court,8/11/1995,Adventure,PG,C,Michael Gottlieb,1995,8,11,NO
The Last Flight of Noah’s Ark,6/25/1980,Adventure,G,C,Charles Jarrott,1980,6,25,NO
African Cats,4/22/2011,Documentary,G,D,Alastair Fothergill,2011,4,22,YES
Toy Story 3D Double Feature,10/2/2009,Adventure,G,C,NO_DIRECTOR,2009,10,2,NO
Into the Woods,12/25/2014,Musical,PG,B,Rob Marshall,2014,12,25,NO
Finding Nemo,5/30/2003,Adventure,G,S,Andrew Stanton,2003,5,30,NO
The Good Mother,11/4/1988,Drama,R,D,Steve Antin,1988,11,4,NO
The Hundred-Foot Journey,8/8/2014,Romantic Comedy,PG,C,Lasse Hallström,2014,8,8,NO
Pearl Harbor,5/25/2001,Action,PG-13,A,Michael Bay,2001,5,25,NO
Pirates of the Caribbean: At World’…,5/24/2007,Adventure,PG-13,A,Gore Verbinski,2007,5,24,NO
Color of Night,8/19/1994,Thriller/Suspense,R,C,Richard Rush,1994,8,19,NO
Romy and Michele's High School Reunion,4/25/1997,Comedy,R,C,David Mirkin,1997,4,25,NO
Cheetah,8/18/1989,Adventure,UNKNOWN,D,NO_DIRECTOR,1989,8,18,NO
Jack,8/9/1996,Drama,PG-13,B,NO_DIRECTOR,1996,8,9,NO
Monsters University,6/21/2013,Adventure,G,A,Dan Scanlon,2013,6,21,YES
The Fifth Estate,10/18/2013,Drama,R,D,Bill Condon,2013,10,18,NO
Before and After,2/23/1996,Drama,PG-13,D,Barbet Schroeder,1996,2,23,YES
Moonlight Mile,9/27/2002,Drama,PG-13,D,Brad Silberling,2002,9,27,NO
A Stranger Among Us,7/17/1992,Drama,PG-13,C,Sidney Lumet,1992,7,17,NO
The Lizzie McGuire Movie,5/2/2003,Comedy,PG,C,Jim Fall,2003,5,2,NO
Krippendorf's Tribe,2/27/1998,Comedy,PG-13,D,Todd Holland,1998,2,27,NO
crazy/beautiful,6/29/2001,Drama,PG-13,C,NO_DIRECTOR,2001,6,29,YES
Adventures in Babysitting,7/3/1987,Comedy,PG-13,B,John Schultz,1987,7,3,NO
The Game Plan,9/22/2007,Comedy,PG,B,Andy Fickman,2007,9,22,NO
Splash,3/9/1984,Comedy,PG,B,Ron Howard,1984,3,9,NO
Who Framed Roger Rabbit?,6/22/1988,Comedy,PG,A,NO_DIRECTOR,1988,6,22,NO
The Light Between Oceans,9/2/2016,Drama,PG-13,D,Derek Cianfrance,2016,9,2,NO
The Guardian,9/29/2006,Action,PG-13,B,Andrew Davis,2006,9,29,NO
The Sword in the Stone,12/25/2063,Adventure,G,B,Wolfgang Reitherman,1963,12,25,NO
Mr. Holland's Opus,12/29/1995,Drama,PG,B,Stephen Herek,1995,12,29,NO
The Rescuers Down Under,11/16/1990,Adventure,G,C,Mike Gabriel,1990,11,16,NO
The Preacher's Wife,12/13/1996,Drama,PG,B,Penny Marshall,1996,12,13,NO
Sarafina!,9/18/1992,Drama,PG-13,D,Darrell James Roodt,1992,9,18,NO
Trenchcoat,3/11/1983,Comedy,PG,D,Michael Tuchner,1983,3,11,NO
Confessions of a Teenage Drama Queen,2/20/2004,Comedy,PG,C,Sara Sugarman,2004,2,20,NO
Around the World in 80 Days,6/16/2004,Adventure,PG,C,NO_DIRECTOR,2004,6,16,NO
Blaze,12/13/1989,Drama,R,C,NO_DIRECTOR,1989,12,13,YES
Toy Story,11/22/1995,Adventure,G,A,John Lasseter,1995,11,22,NO
Prince of Persia: Sands of Time,5/28/2010,Action,PG-13,B,NO_DIRECTOR,2010,5,28,NO
Eddie,5/31/1996,Comedy,PG-13,C,NO_DIRECTOR,1996,5,31,NO
White Fang 2: Myth of the White Wolf,4/15/1994,Adventure,PG,D,Ken Olin,1994,4,15,NO
White Squall,2/2/1996,Adventure,PG-13,D,Ridley Scott,1996,2,2,NO
The Invisible,4/27/2007,Thriller/Suspense,PG-13,C,NO_DIRECTOR,2007,4,27,YES
Guilty as Sin,6/4/1993,Thriller/Suspense,R,C,Sidney Lumet,1993,6,4,NO
Operation Dumbo Drop,7/28/1995,Adventure,PG,C,Simon Wincer,1995,7,28,NO
Ghosts of the Abyss,4/11/2003,Documentary,G,C,James Cameron,2003,4,11,NO
Scenes from a Mall,2/22/1991,Comedy,R,D,Paul Mazursky,1991,2,22,NO
The BFG,7/1/2016,Adventure,PG,C,Steven Spielberg,2016,7,1,NO
Tron,7/9/1982,Action,UNKNOWN,B,NO_DIRECTOR,1982,7,9,NO
Firelight,9/4/1998,Drama,R,D,William Nicholson,1998,9,4,NO
Delivery Man,11/22/2013,Comedy,PG-13,C,Ken Scott,2013,11,22,YES
New York Stories,3/1/1989,Drama,PG,C,Francis Ford Coppola,1989,3,1,NO
Disorganized Crime,4/14/1989,Comedy,R,D,Jim Kouf,1989,4,14,NO
Tom and Huck,12/22/1995,Adventure,PG,C,Peter Hewitt,1995,12,22,NO
Keeping the Faith,4/14/2000,Romantic Comedy,PG-13,C,Edward Norton,2000,4,14,NO
Grosse Pointe Blank,4/11/1997,Black Comedy,R,C,George Armitage,1997,4,11,YES
Indian Summer,4/23/1993,Comedy,R,C,NO_DIRECTOR,1993,4,23,YES
The Princess and the Frog,11/25/2009,Adventure,G,B,Ron Clements,2009,11,25,NO
Billy Bathgate,11/1/1991,Drama,R,C,Robert Benton,1991,11,1,NO
3 Ninjas Kick Back,5/6/1994,Action,PG,C,Charles T. Kanganis,1994,5,6,NO
My Boyfriend's Back,8/6/1993,Comedy,PG-13,D,Bob Balaban,1993,8,6,NO
Goal! The Dream Begins,5/12/2006,Drama,PG,D,Danny Cannon,2006,5,12,YES
Country,9/29/1984,Drama,UNKNOWN,C,NO_DIRECTOR,1984,9,29,YES
Big Trouble,4/5/2002,Comedy,PG-13,D,NO_DIRECTOR,2002,4,5,NO
People Like Us,6/29/2012,Drama,PG-13,D,Alex Kurtzman,2012,6,29,NO
Mars Needs Moms,3/11/2011,Adventure,PG,C,Simon Wells,2011,3,11,NO
Angie,3/4/1994,Comedy,R,D,NO_DIRECTOR,1994,3,4,NO
Deuce Bigalow: Male Gigolo,12/10/1999,Comedy,R,B,Mike Mitchell,1999,12,10,NO
Veronica Guerin,10/17/2003,Drama,R,D,Joel Schumacher,2003,10,17,YES
Max Keeble's Big Move,10/5/2001,Comedy,PG,C,Tim Hill,2001,10,5,YES
The Scarlet Letter,10/13/1995,Drama,R,C,Roland Joffé,1995,10,13,NO
D3: The Mighty Ducks,10/4/1996,Comedy,PG,C,Rob Lieberman,1996,10,4,NO
Up,5/29/2009,Adventure,PG,A,NO_DIRECTOR,2009,5,29,NO
Alive,1/15/1993,Adventure,R,B,NO_DIRECTOR,1993,1,15,NO
Can't Buy Me Love,8/14/1987,Romantic Comedy,PG-13,C,Steve Rash,1987,8,14,NO
The Hoax,4/6/2007,Drama,R,D,Lasse Hallström,2007,4,6,NO
Fantasia,11/13/2040,Musical,G,S,David Hand,1940,11,13,NO
Crimson Tide,5/12/1995,Action,R,B,Tony Scott,1995,5,12,NO
Ransom,11/8/1996,Action,R,A,Ron Howard,1996,11,8,NO
Pretty Woman,3/23/1990,Romantic Comedy,R,A,Garry Marshall,1990,3,23,YES
Inspector Gadget,7/23/1999,Comedy,PG,B,David Kellogg,1999,7,23,NO
Winnie the Pooh,7/15/2011,Adventure,G,C,Stephen J. Anderson,2011,7,15,NO
The Tigger Movie,2/11/2000,Adventure,G,B,Jun Falkenstein,2000,2,11,YES
Heavy Weights,2/17/1995,Comedy,PG,C,Steven Brill,1995,2,17,NO
What About Bob?,5/17/1991,Comedy,PG,B,NO_DIRECTOR,1991,5,17,NO
Condorman,8/7/1981,Action,G,D,Charles Jarrott,1981,8,7,YES
The Haunted Mansion,11/26/2003,Comedy,PG,B,Rob Minkoff,2003,11,26,NO
The Hitchhiker's Guide to the Galaxy,4/29/2005,Comedy,PG,C,Garth Jennings,2005,4,29,YES
Bedknobs and Broomsticks,10/7/2071,Musical,G,B,Robert Stevenson,1971,10,7,NO
Pooh's Heffalump Movie,2/11/2005,Adventure,G,C,Frank Nissen,2005,2,11,NO
Open Range,8/15/2003,Western,R,B,Kevin Costner,2003,8,15,NO
D.O.A.,3/18/1988,Thriller/Suspense,R,C,Annabel Jankel,1988,3,18,NO
Meet the Deedles,3/27/1998,Comedy,PG,D,Steve Boyum,1998,3,27,NO
A Beautiful Planet,4/29/2016,Documentary,G,D,Toni Myers,2016,4,29,NO
Sister Act,5/29/1992,Comedy,PG,A,Emile Ardolino,1992,5,29,NO
Strange Magic,1/23/2015,Adventure,PG,D,Gary Rydstrom,2015,1,23,YES
The Many Adventures of Winnie the Pooh,3/11/1977,Animation,G,D,Wolfgang Reitherman,1977,3,11,NO
Quiz Show,9/14/1994,Drama,PG-13,C,Robert Redford,1994,9,14,NO
While You Were Sleeping,4/21/1995,Romantic Comedy,PG,B,Jon Turteltaub,1995,4,21,NO
Bedtime Stories,12/25/2008,Comedy,PG,B,Adam Shankman,2008,12,25,NO
"The Chronicles of Narnia: The Lion, t…",12/9/2005,Adventure,PG,A,Andrew Adamson,2005,12,9,NO
Instinct,6/4/1999,Drama,R,C,NO_DIRECTOR,1999,6,4,NO
Step Up,8/11/2006,Drama,PG-13,B,Anne Fletcher,2006,8,11,NO
G.I. Jane,8/22/1997,Drama,R,B,Ridley Scott,1997,8,22,NO
Oscar,4/26/1991,Comedy,PG,C,John Landis,1991,4,26,NO
The Parent Trap,7/29/1998,Comedy,PG,B,Nancy Meyers,1998,7,29,NO
Primeval,1/12/2007,Adventure,R,D,NO_DIRECTOR,2007,1,12,NO
The Lone Ranger,7/2/2013,Western,PG-13,B,Gore Verbinski,2013,7,2,YES
"Monsters, Inc.",11/2/2001,Adventure,G,A,Pete Docter,2001,11,2,NO
Reign of Fire,2/19/2002,Action,PG-13,C,Rob Bowman,2002,2,19,NO
Running Brave,11/4/1983,Drama,PG,D,Donald Shebib,1983,11,4,NO
Dinosaur,5/19/2000,Adventure,PG,A,Ralph Zondag,2000,5,19,NO
Rushmore,12/11/1998,Black Comedy,R,C,Wes Anderson,1998,12,11,NO
Freaky Friday,1/21/1977,Comedy,UNKNOWN,B,NO_DIRECTOR,1977,1,21,NO
The 13th Warrior,8/27/1999,Action,R,C,John McTiernan,1999,8,27,NO
Brave,6/22/2012,Adventure,PG,A,Brenda Chapman,2012,6,22,YES
Eight Below,2/17/2006,Adventure,PG,B,Frank Marshall,2006,2,17,YES
Gake no ue no Ponyo,8/14/2009,Adventure,G,D,Hayao Miyazaki,2009,8,14,NO
Queen of Katwe,9/23/2016,Drama,PG,D,Mira Nair,2016,9,23,YES
Straight Talk,4/3/1992,Comedy,PG,C,Barnet Kellman,1992,4,3,YES
Holy Man,10/9/1998,Comedy,PG,C,Stephen Herek,1998,10,9,NO
The Sorcerer's Apprentice,7/14/2010,Adventure,PG,C,Jon Turteltaub,2010,7,14,NO
Stella,2/2/1990,Drama,PG-13,C,NO_DIRECTOR,1990,2,2,NO
An American Werewolf in Paris,12/25/1997,Horror,R,C,Anthony Waller,1997,12,25,NO
The Mighty Ducks,10/2/1992,Comedy,PG,B,Stephen Herek,1992,10,2,YES
Tall Tale,3/24/1995,Western,PG,D,Jeremiah S. Chechik,1995,3,24,YES
Tangled,11/24/2010,Adventure,PG,A,Nathan Greno,2010,11,24,YES
Ed Wood,9/30/1994,Comedy,R,D,Tim Burton,1994,9,30,NO
The Jerky Boys,2/3/1995,Comedy,R,D,James Melkonian,1995,2,3,NO
The Rich Man's Wife,9/13/1996,Thriller/Suspense,R,D,Amy Holden Jones,1996,9,13,NO
"20,000 Leagues Under the Sea",12/23/2054,Adventure,G,S,Richard Fleischer,1954,12,23,NO
Super Mario Bros.,5/28/1993,Action,PG,C,Annabel Jankel,1993,5,28,NO
The Proposal,6/19/2009,Romantic Comedy,PG-13,B,Anne Fletcher,2009,6,19,NO
Race to Witch Mountain,3/13/2009,Adventure,PG,B,Andy Fickman,2009,3,13,YES
The Adventures of Huck Finn,4/2/1993,Adventure,PG,C,Stephen Sommers,1993,4,2,NO
Jefferson in Paris,3/31/1995,Drama,PG-13,D,James Ivory,1995,3,31,NO
The Jungle Book,4/15/2016,Adventure,PG,A,Wolfgang Reitherman,2016,4,15,NO
Sky High,7/29/2005,Adventure,PG,B,Mike Mitchell,2005,7,29,NO
Toy Story 2,11/19/1999,Adventure,G,A,John Lasseter,1999,11,19,NO
The Rescuers,6/22/1977,Adventure,UNKNOWN,B,Wolfgang Reitherman,1977,6,22,YES
Remember the Titans,9/29/2000,Drama,PG,B,Boaz Yakin,2000,9,29,NO
A Lot Like Love,4/22/2005,Comedy,PG-13,C,Nigel Cole,2005,4,22,NO
3 Ninjas,8/7/1992,Action,PG,C,Jon Turteltaub,1992,8,7,NO
Flight of the Navigator,7/30/1986,Adventure,PG,C,Randal Kleiser,1986,7,30,NO
