movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
America's Heart and Soul,7/2/2004,Documentary,Not Rated,D,Louis Schwartsberg,2004,7,2,NO
Swing Vote,8/1/2008,Comedy,PG-13,D,Joshua Michael Stern,2008,8,1,NO
The Straight Story,10/15/1999,Drama,G,D,David Lynch,1999,10,15,NO
The Kid,7/7/2000,Comedy,PG,B,NO_DIRECTOR,2000,7,7,NO
Enchanted,11/21/2007,Romantic Comedy,PG,B,Kevin Lima,2007,11,21,NO
Zootopia,3/4/2016,Adventure,PG,A,Byron Howard,2016,3,4,NO
I'll Be Home For Christmas,11/13/1998,Comedy,PG,C,James Brolin,1998,11,13,NO
The War at Home,11/20/1996,NO_GENRE,R,D,NO_DIRECTOR,1996,11,20,NO
Peter Pan: Return to Neverland,2/15/2002,Adventure,G,B,Robin Budd,2002,2,15,NO
Ratatouille,6/29/2007,Comedy,G,A,Brad Bird,2007,6,29,NO
Secretariat,10/8/2010,Drama,PG,C,Randall Wallace,2010,10,8,NO
Medicine Man,2/7/1992,Drama,PG-13,B,John McTiernan,1992,2,7,NO
A Thousand Acres,9/19/1997,Drama,R,D,Jocelyn Moorhouse,1997,9,19,NO
Mission to Mars,3/10/2000,Adventure,PG,B,Brian De Palma,2000,3,10,NO
Brother Bear,10/24/2003,Adventure,G,B,Robert Walker,2003,10,24,NO
Snow White and the Seven Dwarfs,12/21/2037,Musical,G,S,David Hand,1937,12,21,NO
Toy Story 3,6/18/2010,Adventure,G,A,Lee Unkrich,2010,6,18,NO
Miracle,2/6/2004,Drama,PG,B,NO_DIRECTOR,2004,2,6,NO
My Favorite Martian,2/12/1999,Comedy,PG,C,NO_DIRECTOR,1999,2,12,YES
Benji the Hunted,6/5/1987,Adventure,G,C,Joe Camp,1987,6,5,NO
A Far Off Place,3/12/1993,Adventure,PG,C,Mikael Salomon,1993,3,12,NO
Old Dogs,11/25/2009,Comedy,PG,C,Walt Becker,2009,11,25,NO
Alice in Wonderland,3/5/2010,Adventure,PG,A,Clyde Geronimi,2010,3,5,NO
The Little Mermaid,11/15/1989,Adventure,G,A,Ron Clements,1989,11,15,NO
Stick It,4/28/2006,Comedy,PG-13,C,Jessica Bendinger,2006,4,28,NO
Funny Bones,3/31/1995,Comedy,R,D,Peter Chelsom,1995,3,31,YES
Cars,6/9/2006,Comedy,G,A,John Lasseter,2006,6,9,NO
Bicentennial Man,12/17/1999,Drama,PG,B,Chris Columbus,1999,12,17,YES
Chimpanzee,4/20/2012,Documentary,G,C,Alastair Fothergill,2012,4,20,NO
The Apple Dumpling Gang,7/1/1975,Comedy,G,B,Norman Tokar,1975,7,1,NO
The Other Sister,2/26/1999,Romantic Comedy,PG-13,C,Garry Marshall,1999,2,26,NO
A Simple Twist of Fate,9/2/1994,Drama,PG-13,D,Gillies MacKinnon,1994,9,2,NO
Where the Heart Is,2/23/1990,Comedy,UNKNOWN,D,NO_DIRECTOR,1990,2,23,NO
Kaze Tachinu,11/8/2013,Drama,PG-13,D,Mitsuo Wakasugi,2013,11,8,NO
Off Beat,4/11/1986,Comedy,PG,D,Michael Dinner,1986,4,11,NO
The Greatest Game Ever Played,9/30/2005,Drama,PG,C,Bill Paxton,2005,9,30,NO
The Three Musketeers,11/12/1993,Adventure,PG,B,NO_DIRECTOR,1993,11,12,NO
A Civil Action,12/25/1998,Drama,PG-13,B,Steven Zaillian,1998,12,25,NO
Walt and El Grupo,9/10/2009,Documentary,PG,D,Theodore Thomas,2009,9,10,NO
Powder,10/27/1995,Drama,PG-13,C,Victor Salva,1995,10,27,NO
1492: Conquest of Paradise,10/9/1992,Adventure,PG-13,D,Ridley Scott,1992,10,9,NO
The Cemetery Club,2/3/1993,Comedy,PG-13,D,Bill Duke,1993,2,3,NO
Stay Alive,3/24/2006,Horror,PG-13,C,William Brent Bell,2006,3,24,NO
That Darn Cat,2/14/1997,Comedy,PG,C,NO_DIRECTOR,1997,2,14,NO
The Muppet Christmas Carol,12/11/1992,Comedy,G,C,Brian Henson,1992,12,11,YES
Step Up 2 the Streets,2/14/2008,Drama,PG-13,C,Jon M. Chu,2008,2,14,YES
Fantasia 2000 (Theatrical Release),6/16/2000,Musical,G,D,NO_DIRECTOR,2000,6,16,NO
The Santa Clause 2,11/1/2002,Comedy,G,A,Michael Lembeck,2002,11,1,YES
The Recruit,1/31/2003,Thriller/Suspense,PG-13,B,Roger Donaldson,2003,1,31,NO
Money for Nothing,9/10/1993,Comedy,R,D,Ramón Menéndez,1993,9,10,NO
Bad Company,1/20/1995,Thriller/Suspense,R,D,NO_DIRECTOR,1995,1,20,NO
I Love Trouble,6/29/1994,Romantic Comedy,PG,C,Charles Shyer,1994,6,29,YES
The Absent Minded Professor,3/16/2061,Comedy,G,A,Robert Stevenson,1961,3,16,NO
Jungle 2 Jungle,3/7/1997,Comedy,PG,B,John Pasquin,1997,3,7,NO
Tex,11/19/1982,Drama,UNKNOWN,C,NO_DIRECTOR,1982,11,19,NO
Life With Mikey,6/4/1993,Comedy,PG,C,James Lapine,1993,6,4,NO
Gone Fishin',5/30/1997,Comedy,PG,C,Riley Cairns,1997,5,30,NO
Rogue One: A Star Wars Story,12/16/2016,Adventure,PG-13,S,Gareth Edwards,2016,12,16,NO
The Marrying Man,4/5/1991,Romantic Comedy,R,C,Jerry Rees,1991,4,5,NO
Bubble Boy,8/24/2001,Comedy,PG-13,D,Blair Hayes,2001,8,24,YES
Baby: Secret of the Lost Legend,3/22/1985,Adventure,PG,C,Bill L. Norton,1985,3,22,NO
The Fox and the Hound,7/10/1981,Comedy,G,B,Art Stevens,1981,7,10,NO
High Heels and Low Lifes,10/26/2001,Action,R,D,Mel Smith,2001,10,26,NO
The Tie That Binds,9/8/1995,Thriller/Suspense,R,D,Wesley Strick,1995,9,8,NO
John Carter,3/9/2012,Adventure,PG-13,B,Andrew Stanton,2012,3,9,NO
Blank Check,2/11/1994,Comedy,PG,C,Rupert Wainwright,1994,2,11,NO
Guardians of the Galaxy,8/1/2014,Adventure,PG-13,A,James Gunn,2014,8,1,NO
Star Wars Ep. VII: The Force Awakens,12/18/2015,Adventure,PG-13,S,Unknown,2015,12,18,NO
A Goofy Movie,4/7/1995,Comedy,G,C,Kevin Lima,1995,4,7,NO
Hocus Pocus,7/16/1993,Comedy,PG,B,NO_DIRECTOR,1993,7,16,YES
Pete’s Dragon,8/12/2016,Adventure,PG,B,NO_DIRECTOR,2016,8,12,NO
Night Crossing,2/5/1982,Drama,PG,D,Delbert Mann,1982,2,5,NO
Lilo & Stitch,6/21/2002,Adventure,PG,A,Chris Sanders,2002,6,21,NO
Metro,1/17/1997,Action,R,C,Thomas Carter,1997,1,17,NO
National Treasure,11/19/2004,Adventure,PG,A,Jon Turteltaub,2004,11,19,NO
Shanghai Noon,5/26/2000,Western,PG-13,B,Tom Dey,2000,5,26,NO
Dangerous Minds,8/11/1995,Drama,R,B,John N. Smith,1995,8,11,YES
The Distinguished Gentleman,12/4/1992,Comedy,R,B,Jonathan Lynn,1992,12,4,NO
The Secret World of Arietty,2/17/2012,Adventure,G,C,NO_DIRECTOR,2012,2,17,NO
The Princess Diaries,8/3/2001,Comedy,G,B,Garry Marshall,2001,8,3,YES
Step Up 3D,8/6/2010,Drama,PG-13,C,Jon M. Chu,2010,8,6,NO
Underdog,8/3/2007,Adventure,PG,C,NO_DIRECTOR,2007,8,3,NO
Red Rock West,1/28/1994,Crime,R,D,John Dahl,1994,1,28,NO
Captain America: Civil War,5/6/2016,Action,PG-13,A,Anthony Russo,2016,5,6,YES
Mr. Wrong,2/16/1996,Romantic Comedy,PG-13,C,NO_DIRECTOR,1996,2,16,NO
Nixon,12/20/1995,Drama,R,C,Oliver Stone,1995,12,20,NO
The Ref,3/9/1994,Comedy,R,C,Ted Demme,1994,3,9,YES
The Santa Clause 3: The Escape Clause,11/3/2006,Comedy,G,B,Michael Lembeck,2006,11,3,NO
Ice Princess,3/18/2005,Comedy,G,C,Tim Fywell,2005,3,18,NO
King Arthur,7/7/2004,Adventure,PG-13,B,NO_DIRECTOR,2004,7,7,NO
Nothing To Lose,7/18/1997,Comedy,R,B,Steve Oedekerk,1997,7,18,NO
Herbie: Fully Loaded,6/22/2005,Comedy,G,B,Angela Robinson,2005,6,22,NO
Father of the Bride,12/20/1991,Comedy,PG,B,NO_DIRECTOR,1991,12,20,YES
You Again,9/24/2010,Comedy,PG,C,Andy Fickman,2010,9,24,NO
Treasure Planet,11/27/2002,Adventure,PG,C,Ron Clements,2002,11,27,NO
The Great Mouse Detective,7/2/1986,Adventure,G,C,Ron Clements,1986,7,2,YES
Cinderella,3/13/2015,Drama,PG,A,Wilfred Jackson,2015,3,13,NO
Frozen,11/22/2013,Adventure,PG,A,Chris Buck,2013,11,22,NO
Pirates of the Caribbean: On Stranger…,5/20/2011,Adventure,PG-13,A,Rob Marshall,2011,5,20,NO
Zokkomon,4/22/2011,Adventure,PG,D,Satyajit Bhatkal,2011,4,22,NO
Gross Anatomy,10/20/1989,Drama,PG-13,C,Thom Eberhardt,1989,10,20,NO
The Incredibles,11/5/2004,Adventure,PG,A,Brad Bird,2004,11,5,NO
Frank McKlusky C.I.,1/1/2002,Action,PG-13,D,Arlene Sanford,2002,1,1,NO
Taking Care of Business,8/17/1990,Comedy,R,C,Arthur Hiller,1990,8,17,NO
Tim Burton's The Nightmare Before Chr…,10/20/2006,Musical,PG,C,NO_DIRECTOR,2006,10,20,NO
Cocktail,7/29/1988,Drama,R,B,Roger Donaldson,1988,7,29,NO
Gun Shy,2/4/2000,Comedy,R,D,NO_DIRECTOR,2000,2,4,NO
Mr. Destiny,10/12/1990,Comedy,PG-13,C,James Orr,1990,10,12,NO
Herbie Goes to Monte Carlo,6/24/1977,Romance,G,B,Vincent McEveety,1977,6,24,NO
Evita,12/25/1996,Musical,PG,B,Alan Parker,1996,12,25,NO
Dark Water,7/8/2005,Thriller/Suspense,PG-13,C,Walter Salles,2005,7,8,NO
Piglet's Big Movie,3/21/2003,Comedy,G,C,Francis Glebas,2003,3,21,YES
Kazaam,7/17/1996,Comedy,PG,C,Paul Michael Glaser,1996,7,17,NO
Déjà Vu,11/22/2006,Thriller/Suspense,PG-13,B,Tony Scott,2006,11,22,NO
Waking Sleeping Beauty,3/26/2010,Documentary,PG,D,Don Hahn,2010,3,26,NO
The Count of Monte Cristo,1/25/2002,Drama,PG-13,B,Kevin Reynolds,2002,1,25,YES
The Program,9/24/1993,Action,R,C,Stephen Frears,1993,9,24,NO
When in Rome,1/29/2010,Romantic Comedy,PG-13,C,Mark Steven Johnson,2010,1,29,NO
Born Yesterday,3/26/1993,Romantic Comedy,PG,C,NO_DIRECTOR,1993,3,26,NO
The Alamo,4/9/2004,Western,PG-13,C,NO_DIRECTOR,2004,4,9,NO
Mad Love,5/26/1995,Drama,PG-13,C,NO_DIRECTOR,1995,5,26,NO
Armageddon,7/1/1998,Adventure,PG-13,A,Michael Bay,1998,7,1,YES
Air Bud,8/1/1997,Comedy,PG,C,Charles Martin Smith,1997,8,1,NO
Fire Birds,5/24/1990,Action,PG-13,C,David Green,1990,5,24,NO
The Black Cauldron,7/24/1985,Adventure,PG,C,Ted Berman,1985,7,24,NO
Oz the Great and Powerful,3/8/2013,Adventure,PG,A,Sam Raimi,2013,3,8,NO
Two Much,3/15/1996,Romantic Comedy,PG-13,D,Fernando Trueba,1996,3,15,NO
102 Dalmatians,11/22/2000,Comedy,G,B,Kevin Lima,2000,11,22,NO
The Pacifier,3/4/2005,Comedy,PG,B,Adam Shankman,2005,3,4,NO
Prom,4/29/2011,Comedy,PG,D,NO_DIRECTOR,2011,4,29,NO
Un indien dans la ville,3/22/1996,Comedy,PG,D,NO_DIRECTOR,1996,3,22,NO
Annapolis,1/27/2006,Drama,PG-13,C,Justin Lin,2006,1,27,YES
The Country Bears,7/26/2002,Adventure,G,C,Peter Hastings,2002,7,26,NO
Planes: Fire and Rescue,7/18/2014,Adventure,PG,C,Roberts Gannaway,2014,7,18,NO
Tin Men,3/6/1987,Comedy,R,C,Barry Levinson,1987,3,6,NO
Renaissance Man,6/3/1994,Comedy,PG-13,C,Penny Marshall,1994,6,3,YES
Playing God,10/17/1997,Thriller/Suspense,R,D,NO_DIRECTOR,1997,10,17,NO
Phenomenon,7/5/1996,Drama,PG,B,NO_DIRECTOR,1996,7,5,NO
Gnomeo and Juliet,2/11/2011,Comedy,G,B,Kelly Asbury,2011,2,11,NO
The Color of Money,10/17/1986,Drama,R,B,Martin Scorsese,1986,10,17,NO
Blackbeard's Ghost,2/8/2068,Comedy,G,B,Robert Stevenson,1968,2,8,YES
Ernest Scared Stupid,10/11/1991,Comedy,PG,C,John R. Cherry III,1991,10,11,NO
The Emperor's New Groove,12/15/2000,Adventure,G,B,Mark Dindal,2000,12,15,YES
Double Take,1/12/2001,Action,PG-13,C,George Gallo,2001,1,12,NO
Rocket Man,10/10/1997,Comedy,PG,C,Oscar Rudolph,1997,10,10,NO
Mulan,6/19/1998,Adventure,G,A,Barry Cook,1998,6,19,YES
Song of the South,11/12/2046,Adventure,G,S,Wilfred Jackson,1946,11,12,NO
The Black Hole,12/21/1979,Adventure,PG,B,Gary Nelson,1979,12,21,YES
Raising Helen,5/28/2004,Comedy,PG-13,C,Garry Marshall,2004,5,28,NO
A Gun in Betty Lou's Handbag,8/21/1992,Comedy,PG-13,D,Allan Moyle,1992,8,21,YES
The Air Up There,1/7/1994,Comedy,PG,C,Paul Michael Glaser,1994,1,7,NO
Roommates,3/3/1995,Comedy,PG,C,NO_DIRECTOR,1995,3,3,NO
Morning Light,10/17/2008,Documentary,PG,D,Mark Monroe,2008,10,17,NO
Valiant,8/19/2005,Adventure,G,C,Gary Chapman,2005,8,19,NO
Down and Out in Beverly Hills,1/31/1986,Comedy,R,B,Paul Mazursky,1986,1,31,NO
Tarzan,6/16/1999,Adventure,G,A,Chris Buck,1999,6,16,NO
The Royal Tenenbaums,12/14/2001,Black Comedy,R,B,Wes Anderson,2001,12,14,NO
James and the Giant Peach,4/12/1996,Adventure,PG,C,Henry Selick,1996,4,12,NO
"Mystery, Alaska",10/1/1999,Comedy,R,D,Jay Roach,1999,10,1,NO
Last Dance,5/3/1996,Drama,R,D,NO_DIRECTOR,1996,5,3,YES
My Science Project,8/9/1985,Comedy,PG,D,Jonathan R. Betuel,1985,8,9,
Homeward Bound II: Lost in San Franc…,3/8/1996,Adventure,G,C,David R. Ellis,1996,3,8,
The Muppets,11/23/2011,Comedy,PG,B,James Bobin,2011,11,23,
Turner & Hooch,7/28/1989,Comedy,PG,B,NO_DIRECTOR,1989,7,28,
Oceans,4/22/2010,Documentary,G,C,NO_DIRECTOR,2010,4,22,
It's Pat,8/26/1994,Comedy,PG-13,D,Adam Bernstein,1994,8,26,
The Finest Hours,1/29/2016,Thriller/Suspense,PG,C,Craig Gillespie,2016,1,29,
Shoot to Kill,2/12/1988,Action,R,C,Roger Spottiswoode,1988,2,12,
Hannah Montana the Movie,4/10/2009,Drama,G,B,Peter Chelsom,2009,4,10,
First Kid,8/30/1996,Comedy,PG,C,David M. Evans,1996,8,30,
Consenting Adults,10/16/1992,Drama,R,C,Alan J. Pakula,1992,10,16,
Dan in Real Life,10/20/2007,Romantic Comedy,PG-13,C,Peter Hedges,2007,10,20,
Sorority Boys,3/22/2002,Comedy,R,D,Wallace Wolodarsky,2002,3,22,
Simon Birch,9/11/1998,Drama,PG,C,Mark Steven Johnson,1998,9,11,
In the Army Now,8/12/1994,Comedy,PG,C,Daniel Petrie Jr.,1994,8,12,
Bad Company,6/7/2002,Action,PG-13,C,Joel Schumacher,2002,6,7,
Wreck-It Ralph,11/2/2012,Adventure,PG,A,Rich Moore,2012,11,2,
Iron Man 3,5/3/2013,Action,PG-13,A,Shane Black,2013,5,3,
Cinderella,2/15/2050,Drama,G,S,Wilfred Jackson,1950,2,15,
One Magic Christmas,11/22/1985,Drama,G,C,Phillip Borsos,1985,11,22,
Beverly Hills Chihuahua,10/3/2008,Comedy,PG,B,Raja Gosnell,2008,10,3,
WALL-E,6/27/2008,Adventure,G,A,Andrew Stanton,2008,6,27,
Aladdin,11/11/1992,Comedy,G,A,Ron Clements,1992,11,11,
Casanova,12/25/2005,Drama,R,D,Lasse Hallström,2005,12,25,
Thor: The Dark World,11/8/2013,Adventure,PG-13,A,Alan Taylor,2013,11,8,
Monkey Kingdom,4/17/2015,Documentary,G,D,Alastair Fothergill,2015,4,17,
Ernest Saves Christmas,11/11/1988,Comedy,PG,C,John R. Cherry III,1988,11,11,
Hannah Montana/Miley Cyrus: Best of B…,2/1/2008,Concert/Performance,G,B,NO_DIRECTOR,2008,2,1,
Saving Mr. Banks,12/13/2013,Drama,PG-13,B,John Lee Hancock,2013,12,13,
The Aristocats,4/24/2070,Musical,G,A,Wolfgang Reitherman,1970,4,24,
Calendar Girls,12/19/2003,Comedy,PG-13,C,Nigel Cole,2003,12,19,
Unstrung Heroes,9/15/1995,Drama,PG,D,Diane Keaton,1995,9,15,
Three Fugitives,1/27/1989,Comedy,PG-13,B,Francis Veber,1989,1,27,
Tomorrowland,5/22/2015,Adventure,PG,B,Brad Bird,2015,5,22,
The Village,7/30/2004,Thriller/Suspense,PG-13,B,M. Night Shyamalan,2004,7,30,
"Alexander and the Terrible, Horrible,…",10/10/2014,Comedy,PG,C,Miguel Arteta,2014,10,10,
Arachnophobia,7/18/1990,Thriller/Suspense,PG-13,B,Frank Marshall,1990,7,18,
Lincoln,11/9/2012,Drama,PG-13,B,NO_DIRECTOR,2012,11,9,
The Horse Whisperer,5/15/1998,Drama,PG-13,B,Robert Redford,1998,5,15,
Muppets Most Wanted,3/21/2014,Comedy,PG,C,James Bobin,2014,3,21,
Fantasia 2000 (IMAX),1/1/2000,Musical,G,B,Unknown,2000,1,1,
Spaced Invaders,4/27/1990,Comedy,PG,C,Patrick Read Johnson,1990,4,27,
Just Visiting,4/6/2001,Comedy,PG-13,D,Jean-Marie Poiré,2001,4,6,
Holes,4/18/2003,Drama,PG,B,Andrew Davis,2003,4,18,
The Last Shot,9/24/2004,Comedy,R,D,NO_DIRECTOR,2004,9,24,
The Jungle Book,10/18/2067,Musical,Not Rated,S,NO_DIRECTOR,1967,10,18,
Meet the Robinsons,3/30/2007,Adventure,G,B,Stephen J. Anderson,2007,3,30,
Dead Poets Society,6/2/1989,Drama,PG,A,Peter Weir,1989,6,2,
Avengers: Age of Ultron,5/1/2015,Action,PG-13,A,Joss Whedon,2015,5,1,
Man of the House,3/3/1995,Comedy,PG,B,NO_DIRECTOR,1995,3,3,
Bears,4/18/2014,Documentary,G,D,NO_DIRECTOR,2014,4,18,
Passed Away,4/24/1992,Comedy,PG-13,D,Charlie Peters,1992,4,24,
ESPN's Ultimate X - The Movie,5/10/2002,Documentary,PG,D,Unknown,2002,5,10,
Atlantis: The Lost Empire,6/8/2001,Adventure,PG,B,Gary Trousdale,2001,6,8,
Ernest Goes to Camp,5/22/1987,Comedy,PG,C,John R. Cherry III,1987,5,22,
Teacher's Pet: The Movie,1/16/2004,Comedy,PG,D,Unknown,2004,1,16,
Spy Hard,5/24/1996,Comedy,PG-13,C,Rick Friedberg,1996,5,24,
Snow Dogs,1/18/2002,Comedy,PG,B,Brian Levant,2002,1,18,
Frankenweenie,10/5/2012,Comedy,PG,C,Tim Burton,2012,10,5,
Tuck Everlasting,10/11/2002,Drama,PG,C,Jay Russell,2002,10,11,
Hauru no ugoku shiro,6/10/2005,Adventure,PG,D,Hayao Miyazaki,2005,6,10,
Gedo Senki (Tales from Earthsea),8/13/2010,Adventure,PG-13,D,NO_DIRECTOR,2010,8,13,
Return to Oz,6/21/1985,Adventure,G,C,Walter Murch,1985,6,21,
Disney's A Christmas Carol,11/6/2009,Drama,PG,B,Robert Zemeckis,2009,11,6,
Prefontaine,1/24/1997,Drama,PG-13,D,Steve James,1997,1,24,
Beaches,12/21/1988,Drama,PG-13,B,Garry Marshall,1988,12,21,
101 Dalmatians,1/25/2061,Comedy,G,S,NO_DIRECTOR,1961,1,25,
The Last Song,3/31/2010,Drama,PG,C,Julie Anne Robinson,2010,3,31,
Father Hood,8/27/1993,Action,PG-13,D,Darrell James Roodt,1993,8,27,
Encino Man,5/22/1992,Comedy,PG,B,Les Mayfield,1992,5,22,
Sweet Home Alabama,9/27/2002,Comedy,PG-13,B,Andy Tennant,2002,9,27,
Play it to the Bone,12/24/1999,Comedy,R,D,Ron Shelton,1999,12,24,
The Odd Life of Timothy Green,8/15/2012,Drama,PG,C,Peter Hedges,2012,8,15,
Honey I Blew Up the Kid,7/17/1992,Comedy,PG,B,Randal Kleiser,1992,7,17,
Hercules,6/13/1997,Adventure,G,B,Ron Clements,1997,6,13,
