movie_title,release_date,genre,MPAA_rating,revenue,directors,animated
Swing Vote,1-Aug-08,Comedy,PG-13,"$19,125,841 ",Joshua Michael Stern,NO
The Straight Story,15-Oct-99,Drama,G,"$10,111,144 ",David Lynch,NO
The Kid,7-Jul-00,Comedy,PG,"$108,993,148 ",Jon Turteltaub,NO
Enchanted,21-Nov-07,Romantic Comedy,PG,"$156,074,310 ",Kevin Lima,Yes
Zootopia,4-Mar-16,Adventure,PG,"$341,268,248 ",Byron Howard,Yes
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,"$21,941,840 ",James Brolin,NO
The War at Home,20-Nov-96,Drama,R,"$65,543 ",Emilio Estevez,NO
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,"$70,269,715 ",Robin Budd,Yes
Ratatouille,29-Jun-07,Comedy,G,"$252,955,933 ",Brad Bird,Yes
Secretariat,8-Oct-10,Drama,PG,"$63,781,920 ",Randall Wallace,NO
Medicine Man,7-Feb-92,Drama,PG-13,"$91,304,495 ",John McTiernan,NO
A Thousand Acres,19-Sep-97,Drama,R,"$14,561,324 ",Jocelyn Moorhouse,NO
Mission to Mars,10-Mar-00,Adventure,PG,"$95,208,344 ",Brian De Palma,NO
Brother Bear,24-Oct-03,Adventure,G,"$119,218,333 ",Aaron Blaise,Yes
Snow White and the Seven Dwarfs,21-Dec-37,Musical,G,"$5,228,953,251.00 ",David Hand,Yes
Toy Story 3,18-Jun-10,Adventure,G,"$443,408,255 ",Lee Unkrich,Yes
Miracle,6-Feb-04,Drama,PG,"$87,392,478 ",T.C. Christensen,NO
My Favorite Martian,12-Feb-99,Comedy,PG,"$61,150,849 ",Donald Petrie,NO
Benji the Hunted,5-Jun-87,Adventure,,"$32,798,382 ",Joe Camp,NO
A Far Off Place,12-Mar-93,Adventure,PG,"$26,248,558 ",Mikael Salomon,NO
Old Dogs,25-Nov-09,Comedy,PG,"$55,503,929 ",Walt Becker,NO
Alice in Wonderland,5-Mar-10,Adventure,PG,"$357,063,499 ",Hamilton Luske,NO
The Little Mermaid,15-Nov-89,Adventure,G,"$223,726,012 ",Ron Clements,NO
Stick It,28-Apr-06,Comedy,PG-13,"$34,634,731 ",Jessica Bendinger,NO
Funny Bones,31-Mar-95,Comedy,R,"$1,025,425 ",Peter Chelsom,NO
Cars,9-Jun-06,Comedy,G,"$314,140,384 ",John Lasseter,Yes
Bicentennial Man,17-Dec-99,Drama,PG,"$94,838,225 ",Chris Columbus,NO
Chimpanzee,20-Apr-12,Documentary,G,"$30,675,725 ",Alastair Fothergill,NO
The Apple Dumpling Gang,1-Jul-75,Comedy,,"$131,246,872 ",Norman Tokar,NO
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,"$46,145,331 ",Garry Marshall,NO
A Simple Twist of Fate,2-Sep-94,Drama,PG-13,"$7,035,189 ",Gillies MacKinnon,NO
Where the Heart Is,23-Feb-90,Comedy,,"$2,210,321 ",Matt Williams,NO
Kaze Tachinu,8-Nov-13,Drama,PG-13,"$5,367,415 ",Mitsuo Wakasugi,Yes
Off Beat,11-Apr-86,Comedy,,"$11,003,932 ",Michael Dinner,NO
The Greatest Game Ever Played,30-Sep-05,Drama,PG,"$20,162,672 ",Bill Paxton,NO
The Three Musketeers,12-Nov-93,Adventure,PG,"$109,310,377 ",William Lau,NO
A Civil Action,25-Dec-98,Drama,PG-13,"$94,139,530 ",Steven Zaillian,NO
Walt and El Grupo,10-Sep-09,Documentary,PG,"$23,064 ",Theodore Thomas,NO
Powder,27-Oct-95,Drama,PG-13,"$59,727,216 ",Victor Salva,NO
1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,"$14,421,454 ",Ridley Scott,NO
The Cemetery Club,3-Feb-93,Comedy,PG-13,"$11,369,541 ",Bill Duke,NO
Stay Alive,24-Mar-06,Horror,PG-13,"$29,712,825 ",William Brent Bell,NO
That Darn Cat,14-Feb-97,Comedy,PG,"$33,613,158 ",Robert Stevenson,NO
The Muppet Christmas Carol,11-Dec-92,Comedy,G,"$55,417,615 ",Brian Henson,NO
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,"$68,118,371 ",Jon M. Chu,NO
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,"$14,238,144 ",Unknown,Yes
The Santa Clause 2,1-Nov-02,Comedy,G,"$201,959,095 ",Michael Lembeck,NO
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,"$73,793,522 ",Roger Donaldson,NO
Money for Nothing,10-Sep-93,Comedy,R,"$2,127,496 ",Ramón Menéndez,NO
Bad Company,20-Jan-95,Thriller/Suspense,R,"$6,829,092 ",Joel Schumacher,NO
I Love Trouble,29-Jun-94,Romantic Comedy,PG,"$63,651,027 ",Charles Shyer,NO
The Absent Minded Professor,16-Mar-61,Comedy,,"$310,094,574 ",Robert Stevenson,NO
Jungle 2 Jungle,7-Mar-97,Comedy,PG,"$110,058,379 ",John Pasquin,NO
Tex,19-Nov-82,Drama,,"$20,643,199 ",Tim Hunter,NO
Life With Mikey,4-Jun-93,Comedy,PG,"$25,146,538 ",James Lapine,NO
Gone Fishin',30-May-97,Comedy,PG,"$36,265,379 ",Christopher Cain,NO
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,"$529,483,936 ",Gareth Edwards,NO
The Marrying Man,5-Apr-91,Romantic Comedy,R,"$24,939,118 ",Jerry Rees,NO
Bubble Boy,24-Aug-01,Comedy,PG-13,"$7,450,434 ",Blair Hayes,NO
Baby: Secret of the Lost Legend,22-Mar-85,Adventure,,"$33,900,697 ",Bill L. Norton,NO
The Fox and the Hound,10-Jul-81,Comedy,,"$133,118,889 ",Ted Berman,Yes
High Heels and Low Lifes,26-Oct-01,Action,R,"$337,782 ",Mel Smith,NO
The Tie That Binds,8-Sep-95,Thriller/Suspense,R,"$11,167,895 ",Wesley Strick,NO
John Carter,9-Mar-12,Adventure,PG-13,"$77,372,445 ",Andrew Stanton,NO
Blank Check,11-Feb-94,Comedy,PG,"$63,170,804 ",Rupert Wainwright,NO
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,"$343,771,168 ",James Gunn,NO
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,"$936,662,225 ",Unknown,NO
A Goofy Movie,7-Apr-95,Comedy,G,"$68,479,579 ",Kevin Lima,Yes
Hocus Pocus,16-Jul-93,Comedy,PG,"$80,147,079 ",Kenny Ortega,NO
Pete’s Dragon,12-Aug-16,Adventure,PG,"$76,233,151 ",David Lowery,NO
Night Crossing,5-Feb-82,Drama,,"$12,903,059 ",Delbert Mann,NO
Lilo & Stitch,21-Jun-02,Adventure,PG,"$211,506,702 ",Chris Sanders,Yes
Metro,17-Jan-97,Action,R,"$58,804,106 ",Thomas Carter,NO
National Treasure,19-Nov-04,Adventure,PG,"$234,069,353 ",Jon Turteltaub,NO
Shanghai Noon,26-May-00,Western,PG-13,"$89,042,541 ",Tom Dey,NO
Dangerous Minds,11-Aug-95,Drama,R,"$164,552,293 ",John N. Smith,NO
The Distinguished Gentleman,4-Dec-92,Comedy,R,"$94,349,900 ",Jonathan Lynn,NO
The Secret World of Arietty,17-Feb-12,Adventure,G,"$20,325,733 ",Unknown,Yes
The Princess Diaries,3-Aug-01,Comedy,G,"$161,218,928 ",Garry Marshall,NO
Step Up 3D,6-Aug-10,Drama,PG-13,"$45,302,137 ",Jon M. Chu,NO
Underdog,3-Aug-07,Adventure,PG,"$53,619,462 ",Jon Erwin,NO
Red Rock West,28-Jan-94,Crime,R,"$5,170,709 ",John Dahl,NO
Captain America: Civil War,6-May-16,Action,PG-13,"$408,084,349 ",Anthony Russo,NO
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,"$24,422,334 ",Nick Castle,NO
Nixon,20-Dec-95,Drama,R,"$26,302,005 ",Oliver Stone,NO
The Ref,9-Mar-94,Comedy,R,"$23,401,275 ",Ted Demme,NO
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,"$108,694,869 ",Michael Lembeck,NO
Ice Princess,18-Mar-05,Comedy,G,"$32,064,685 ",Tim Fywell,NO
King Arthur,7-Jul-04,Adventure,PG-13,"$70,423,706 ",Antoine Fuqua,NO
Nothing To Lose,18-Jul-97,Comedy,R,"$81,692,095 ",Steve Oedekerk,NO
Herbie: Fully Loaded,22-Jun-05,Comedy,G,"$86,812,798 ",Angela Robinson,NO
Father of the Bride,20-Dec-91,Comedy,PG,"$179,821,881 ",Charles Shyer,NO
You Again,24-Sep-10,Comedy,PG,"$27,461,121 ",Andy Fickman,NO
Treasure Planet,27-Nov-02,Adventure,PG,"$55,189,145 ",Ron Clements,Yes
The Great Mouse Detective,2-Jul-86,Adventure,,"$53,637,367 ",Ron Clements,Yes
Cinderella,13-Mar-15,Drama,PG,"$201,151,353 ",Hamilton Luske,NO
Frozen,22-Nov-13,Adventure,PG,"$414,997,174 ",Chris Buck,Yes
Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,"$256,263,359 ",Rob Marshall,NO
Zokkomon,22-Apr-11,Adventure,PG,"$2,984 ",Satyajit Bhatkal,NO
Gross Anatomy,20-Oct-89,Drama,PG-13,"$23,972,012 ",Thom Eberhardt,NO
The Incredibles,5-Nov-04,Adventure,PG,"$354,488,708 ",Brad Bird,Yes
Frank McKlusky C.I.,1-Jan-02,Action,,$0 ,Arlene Sanford,NO
Taking Care of Business,17-Aug-90,Comedy,R,"$39,963,460 ",Arthur Hiller,NO
Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,"$30,737,517 ",Henry Selick,NO
Cocktail,29-Jul-88,Drama,R,"$160,442,289 ",Roger Donaldson,NO
Gun Shy,4-Feb-00,Comedy,R,"$2,562,155 ",Simon West,NO
Mr. Destiny,12-Oct-90,Comedy,PG-13,"$30,722,056 ",James Orr,NO
Herbie Goes to Monte Carlo,24-Jun-77,Romance,,"$105,847,527 ",Vincent McEveety,NO
Evita,25-Dec-96,Musical,PG,"$92,077,628 ",Alan Parker,NO
Dark Water,8-Jul-05,Thriller/Suspense,PG-13,"$33,500,491 ",Walter Salles,NO
Piglet's Big Movie,21-Mar-03,Comedy,G,"$32,298,812 ",Francis Glebas,Yes
Kazaam,17-Jul-96,Comedy,PG,"$36,009,655 ",Paul Michael Glaser,NO
Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,"$82,267,038 ",Tony Scott,NO
Waking Sleeping Beauty,26-Mar-10,Documentary,PG,"$86,264 ",Don Hahn,NO
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,"$78,682,079 ",Kevin Reynolds,NO
The Program,24-Sep-93,Action,R,"$46,919,256 ",Stephen Frears,NO
When in Rome,29-Jan-10,Romantic Comedy,PG-13,"$34,917,330 ",Mark Steven Johnson,NO
Born Yesterday,26-Mar-93,Romantic Comedy,PG,"$36,165,012 ",George Cukor,NO
The Alamo,9-Apr-04,Western,PG-13,"$30,416,359 ",John Lee Hancock,NO
Mad Love,26-May-95,Drama,PG-13,"$29,934,306 ",Antonia Bird,NO
Armageddon,1-Jul-98,Adventure,PG-13,"$362,324,957 ",Michael Bay,NO
Air Bud,1-Aug-97,Comedy,PG,"$45,266,588 ",Charles Martin Smith,NO
Fire Birds,24-May-90,Action,PG-13,"$29,485,923 ",David Green,NO
The Black Cauldron,24-Jul-85,Adventure,,"$50,553,142 ",Ted Berman,Yes
Oz the Great and Powerful,8-Mar-13,Adventure,PG,"$243,434,130 ",Sam Raimi,NO
Two Much,15-Mar-96,Romantic Comedy,PG-13,"$2,057,055 ",Fernando Trueba,NO
102 Dalmatians,22-Nov-00,Comedy,G,"$104,055,039 ",Kevin Lima,NO
The Pacifier,4-Mar-05,Comedy,PG,"$148,619,029 ",Adam Shankman,NO
Prom,29-Apr-11,Comedy,PG,"$10,768,946 ",Joe Nussbaum,NO
Un indien dans la ville,22-Mar-96,Comedy,PG,"$1,963,937 ",Hervé Palud,NO
Annapolis,27-Jan-06,Drama,PG-13,"$22,044,113 ",Justin Lin,NO
The Country Bears,26-Jul-02,Adventure,G,"$24,650,121 ",Peter Hastings,NO
Planes: Fire and Rescue,18-Jul-14,Adventure,PG,"$61,040,349 ",Roberts Gannaway,Yes
Tin Men,6-Mar-87,Comedy,,"$54,787,202 ",Barry Levinson,NO
Renaissance Man,3-Jun-94,Comedy,PG-13,"$49,945,474 ",Penny Marshall,NO
Playing God,17-Oct-97,Thriller/Suspense,R,"$7,652,965 ",Andy Wilson,NO
Phenomenon,5-Jul-96,Drama,PG,"$199,559,799 ",Jon Turteltaub,NO
Gnomeo and Juliet,11-Feb-11,Comedy,G,"$106,270,797 ",Kelly Asbury,Yes
The Color of Money,17-Oct-86,Drama,R,"$117,957,323 ",Martin Scorsese,NO
Blackbeard's Ghost,8-Feb-68,Comedy,,"$138,612,686 ",Robert Stevenson,NO
Ernest Scared Stupid,11-Oct-91,Comedy,PG,"$28,320,147 ",John R. Cherry III,NO
The Emperor's New Groove,15-Dec-00,Adventure,G,"$136,789,252 ",Mark Dindal,Yes
Double Take,12-Jan-01,Action,PG-13,"$44,418,589 ",George Gallo,NO
Rocket Man,10-Oct-97,Comedy,PG,"$28,371,890 ",Oscar Rudolph,NO
Mulan,19-Jun-98,Adventure,G,"$216,807,832 ",Niki Caro,NO
Song of the South,12-Nov-46,Adventure,G,"$1,078,510,579 ",Wilfred Jackson,Yes
The Black Hole,21-Dec-79,Adventure,,"$120,377,374 ",Gary Nelson,NO
Raising Helen,28-May-04,Comedy,PG-13,"$50,886,144 ",Garry Marshall,NO
A Gun in Betty Lou's Handbag,21-Aug-92,Comedy,PG-13,"$7,295,423 ",Allan Moyle,NO
The Air Up There,7-Jan-94,Comedy,PG,"$42,940,186 ",Paul Michael Glaser,NO
Roommates,3-Mar-95,Comedy,PG,"$23,404,369 ",Peter Yates,NO
Morning Light,17-Oct-08,Documentary,PG,"$322,979 ",Mark Monroe,NO
Valiant,19-Aug-05,Adventure,G,"$25,616,292 ",Gary Chapman,Yes
Down and Out in Beverly Hills,31-Jan-86,Comedy,R,"$141,183,693 ",Paul Mazursky,NO
Tarzan,16-Jun-99,Adventure,G,"$283,900,254 ",Kevin Lima,NO
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,"$76,758,193 ",Wes Anderson,NO
James and the Giant Peach,12-Apr-96,Adventure,PG,"$55,159,783 ",Henry Selick,Yes
"Mystery, Alaska",1-Oct-99,Comedy,R,"$14,755,189 ",Jay Roach,NO
Last Dance,3-May-96,Drama,R,"$11,171,714 ",Bruce Beresford,NO
My Science Project,9-Aug-85,Comedy,,"$9,736,051 ",Jonathan R. Betuel,NO
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,"$62,384,706 ",David R. Ellis,NO
The Muppets,23-Nov-11,Comedy,PG,"$94,189,503 ",James Bobin,NO
Turner & Hooch,28-Jul-89,Comedy,PG,"$150,176,361 ",Roger Spottiswoode,NO
Oceans,22-Apr-10,Documentary,G,"$20,751,600 ",Gary Ross,NO
It's Pat,26-Aug-94,Comedy,,"$125,666 ",Adam Bernstein,NO
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,"$27,569,558 ",Craig Gillespie,NO
Shoot to Kill,12-Feb-88,Action,,"$60,097,074 ",Roger Spottiswoode,NO
Hannah Montana the Movie,10-Apr-09,Drama,G,"$89,443,640 ",Peter Chelsom,NO
First Kid,30-Aug-96,Comedy,PG,"$50,465,108 ",David M. Evans,NO
Consenting Adults,16-Oct-92,Drama,R,"$43,859,823 ",Alan J. Pakula,NO
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,"$58,350,234 ",Peter Hedges,NO
Sorority Boys,22-Mar-02,Comedy,R,"$14,797,862 ",Wallace Wolodarsky,NO
Simon Birch,11-Sep-98,Drama,PG,"$32,809,442 ",Mark Steven Johnson,NO
In the Army Now,12-Aug-94,Comedy,PG,"$59,673,787 ",Daniel Petrie Jr.,NO
Bad Company,7-Jun-02,Action,PG-13,"$43,756,218 ",Joel Schumacher,NO
Wreck-It Ralph,2-Nov-12,Adventure,PG,"$200,354,959 ",Rich Moore,Yes
Iron Man 3,3-May-13,Action,PG-13,"$424,084,233 ",Shane Black,NO
Cinderella,15-Feb-50,Drama,G,"$920,608,730 ",Hamilton Luske,NO
One Magic Christmas,22-Nov-85,Drama,,"$31,415,432 ",Phillip Borsos,NO
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,"$110,932,022 ",Raja Gosnell,NO
WALL-E,27-Jun-08,Adventure,G,"$262,771,918 ",Andrew Stanton,Yes
Aladdin,11-Nov-92,Comedy,G,"$441,969,178 ",Guy Ritchie,NO
Casanova,25-Dec-05,Drama,R,"$14,574,087 ",Lasse Hallström,NO
Thor: The Dark World,8-Nov-13,Adventure,PG-13,"$213,962,184 ",Alan Taylor,NO
Monkey Kingdom,17-Apr-15,Documentary,G,"$16,432,322 ",Alastair Fothergill,NO
Ernest Saves Christmas,11-Nov-88,Comedy,PG,"$57,845,202 ",John R. Cherry III,NO
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,"$76,646,993 ",Unknown,NO
Saving Mr. Banks,13-Dec-13,Drama,PG-13,"$86,249,969 ",John Lee Hancock,NO
The Aristocats,24-Apr-70,Musical,G,"$255,161,499 ",Wolfgang Reitherman,Yes
Calendar Girls,19-Dec-03,Comedy,PG-13,"$42,379,650 ",Nigel Cole,NO
Unstrung Heroes,15-Sep-95,Drama,PG,"$15,365,850 ",Diane Keaton,NO
Three Fugitives,27-Jan-89,Comedy,PG-13,"$85,757,817 ",Francis Veber,NO
Tomorrowland,22-May-15,Adventure,PG,"$93,436,322 ",Brad Bird,NO
The Village,30-Jul-04,Thriller/Suspense,PG-13,"$155,021,748 ",M. Night Shyamalan,NO
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,"$69,055,550 ",Miguel Arteta,NO
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,"$106,290,270 ",Frank Marshall,NO
Lincoln,9-Nov-12,Drama,PG-13,"$192,122,330 ",Timur Bekmambetov,NO
The Horse Whisperer,15-May-98,Drama,PG-13,"$135,497,531 ",Robert Redford,NO
Muppets Most Wanted,21-Mar-14,Comedy,PG,"$52,807,594 ",James Bobin,NO
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,"$94,852,354 ",Unknown,Yes
Spaced Invaders,27-Apr-90,Comedy,PG,"$29,964,452 ",Patrick Read Johnson,NO
Just Visiting,6-Apr-01,Comedy,PG-13,"$7,114,869 ",Jean-Marie Poiré,NO
Holes,18-Apr-03,Drama,PG,"$94,203,395 ",Andrew Davis,NO
The Last Shot,24-Sep-04,Comedy,R,"$629,502 ",Jeff Nathanson,NO
The Jungle Book,18-Oct-67,Musical,Not Rated,"$789,612,346 ",Wolfgang Reitherman,NO
Meet the Robinsons,30-Mar-07,Adventure,G,"$119,860,589 ",Stephen J. Anderson,Yes
Dead Poets Society,2-Jun-89,Drama,PG,"$202,531,517 ",Peter Weir,NO
Avengers: Age of Ultron,1-May-15,Action,PG-13,"$459,005,868 ",Joss Whedon,NO
Man of the House,3-Mar-95,Comedy,PG,"$77,573,459 ",Stephen Herek,NO
Bears,18-Apr-14,Documentary,G,"$18,346,024 ",Daniel Chong,NO
Passed Away,24-Apr-92,Comedy,PG-13,"$8,187,848 ",Charlie Peters,NO
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,"$6,089,874 ",Unknown,NO
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,"$125,188,122 ",Gary Trousdale,Yes
Ernest Goes to Camp,22-May-87,Comedy,,"$50,686,462 ",John R. Cherry III,NO
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,"$8,812,764 ",Unknown,Yes
Spy Hard,24-May-96,Comedy,PG-13,"$51,373,912 ",Rick Friedberg,NO
Snow Dogs,18-Jan-02,Comedy,PG,"$117,745,317 ",Brian Levant,NO
Frankenweenie,5-Oct-12,Comedy,PG,"$37,363,513 ",Tim Burton,Yes
Tuck Everlasting,11-Oct-02,Drama,PG,"$27,789,959 ",Jay Russell,NO
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,"$6,194,870 ",Hayao Miyazaki,Yes
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,"$51,988 ",Unknown,Yes
Return to Oz,21-Jun-85,Adventure,,"$25,215,934 ",Walter Murch,NO
Disney's A Christmas Carol,6-Nov-09,Drama,PG,"$154,927,105 ",Robert Zemeckis,Yes
Prefontaine,24-Jan-97,Drama,PG-13,"$1,085,093 ",Steve James,NO
Beaches,21-Dec-88,Drama,PG-13,"$120,381,757 ",Garry Marshall,NO
101 Dalmatians,25-Jan-61,Comedy,G,"$1,362,870,985 ",Stephen Herek,NO
The Last Song,31-Mar-10,Drama,PG,"$67,258,772 ",Julie Anne Robinson,NO
Father Hood,27-Aug-93,Action,PG-13,"$6,654,819 ",Darrell James Roodt,NO
Encino Man,22-May-09,Family,,,Les Mayfield,NO
2,Comedy,PG,"$81,369,058 ",,Jeff Fowler,Yes
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,"$184,521,151 ",Andy Tennant,NO
Play it to the Bone,24-Dec-99,Comedy,R,"$13,180,524 ",Ron Shelton,NO
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,"$54,914,942 ",Peter Hedges,NO
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,"$119,162,518 ",Randal Kleiser,NO
Hercules,13-Jun-97,Adventure,G,"$182,029,412 ",Ron Clements,Yes
