,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
0,Recess: School's Out,2001-02-16,Comedy,G,C,Chuck Sheetz,2001,2,16,YES
1,D2: The Mighty Ducks,1994-03-25,Comedy,PG,B,Sam Weisman,1994,3,25,NO
2,Home on the Range,2004-04-02,Comedy,PG,C,Will Finn,2004,4,2,YES
3,Young Black Stallion,2003-12-25,Adventure,G,D,Simon Wincer,2003,12,25,NO
4,What's Love Got to Do With It,1993-06-09,Drama,R,B,Brian Gibson,1993,6,9,NO
5,Lady and the Tramp,2055-06-22,Drama,G,S,Hamilton Luske,1955,6,22,NO
6,Corky Romano,2001-10-12,Comedy,PG-13,C,Rob Pritts,2001,10,12,NO
7,The Waterboy,1998-11-06,Comedy,PG-13,A,Frank Coraci,1998,11,6,NO
8,Captain America: The Winter Soldier,2014-04-04,Action,PG-13,A,Anthony Russo,2014,4,4,NO
9,Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,S,Gore Verbinski,2006,7,7,NO
10,Ladder 49,2004-10-01,Action,PG-13,B,Jay Russell,2004,10,1,NO
11,Coyote Ugly,2000-08-04,Drama,PG-13,B,David McNally,2000,8,4,NO
12,The Sixth Man,1997-03-28,Comedy,PG-13,C,Randall Miller,1997,3,28,NO
13,Dick Tracy,1990-06-15,Action,PG,A,Warren Beatty,1990,6,15,NO
14,Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,B,Bill Duke,1993,12,10,YES
15,DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,C,Bob Hathcock,1990,8,3,NO
16,Blame it on the Bellboy,1992-03-06,Comedy,PG-13,D,Mark Herman,1992,3,6,YES
17,The Hunchback of Notre Dame,1996-06-21,Adventure,G,B,Gary Trousdale,1996,6,21,NO
18,Ernest Goes to Jail,1990-04-06,Comedy,PG,C,John R. Cherry III,1990,4,6,NO
19,Ant-Man,2015-07-17,Action,PG-13,B,NO_DIRECTOR,2015,7,17,NO
20,The Shaggy Dog,2006-03-10,Comedy,PG,B,Brian Robbins,2006,3,10,NO
21,The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,C,Wes Anderson,2004,12,10,NO
22,Bridge to Terabithia,2007-02-16,Drama,PG,B,Gábor Csupó,2007,2,16,YES
23,Beauty and the Beast,1991-11-13,Musical,G,A,Gary Trousdale,1991,11,13,NO
24,Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,D,David Frankel,1995,1,27,NO
25,A Bug's Life,1998-11-20,Adventure,G,A,John Lasseter,1998,11,20,NO
26,3 Men and a Little Lady,1990-11-21,Comedy,PG,B,Emile Ardolino,1990,11,21,NO
27,The Puppet Masters,1994-10-21,Horror,R,D,Stuart Orme,1994,10,21,NO
28,Signs,2002-08-02,Thriller/Suspense,PG-13,A,M. Night Shyamalan,2002,8,2,NO
29,Dead Presidents,1995-10-04,Drama,R,C,Albert Hughes,1995,10,4,NO
30,"McFarland, USA",2015-02-20,Drama,PG,C,Niki Caro,2015,2,20,NO
31,George Of The Jungle,1997-07-16,Comedy,PG,B,Sam Weisman,1997,7,16,NO
32,Bound by Honor,1993-04-16,Crime,R,D,Taylor Hackford,1993,4,16,NO
33,The Avengers,2012-05-04,Action,PG-13,S,Joss Whedon,2012,5,4,NO
34,Ten Things I Hate About You,1999-03-31,Romantic Comedy,PG-13,C,Andre Paras,1999,3,31,NO
35,Earth,2009-04-22,Documentary,G,C,NO_DIRECTOR,2009,4,22,NO
36,Hello Again,1987-11-06,Comedy,PG,C,Tom Gustafson,1987,11,6,YES
37,When a Man Loves a Woman,1994-04-29,Drama,R,B,Luis Mandoki,1994,4,29,NO
38,Unbreakable,2000-11-22,Thriller/Suspense,PG-13,B,NO_DIRECTOR,2000,11,22,YES
39,3 Men and a Baby,1987-11-25,Comedy,PG,A,Leonard Nimoy,1987,11,25,NO
40,X Games 3D: The Movie,2009-08-21,Documentary,PG,D,Steven Lawrence,2009,8,21,NO
41,Cars 2,2011-06-24,Adventure,G,A,John Lasseter,2011,6,24,NO
42,The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,B,Garry Marshall,2004,8,11,NO
43,The Jungle Book 2,2003-02-14,Adventure,G,C,Steve Trenbirth,2003,2,14,NO
44,Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,D,Patrick Hasburgh,1993,1,22,NO
45,Noises Off...,1992-03-20,Comedy,PG-13,D,Peter Bogdanovich,1992,3,20,NO
46,He Got Game,1998-05-01,Drama,R,C,Spike Lee,1998,5,1,NO
47,Bringing Down the House,2003-03-07,Comedy,PG-13,B,Adam Shankman,2003,3,7,NO
48,Bon Voyage!,2062-05-17,Comedy,Not Rated,B,Jean-Paul Rappeneau,1962,5,17,NO
49,Doctor Strange,2016-11-04,Adventure,PG-13,A,NO_DIRECTOR,2016,11,4,NO
50,Flubber,1997-11-26,Comedy,PG,B,Les Mayfield,1997,11,26,NO
51,Roving Mars,2006-01-27,Documentary,G,D,George Butler,2006,1,27,YES
52,Captain Ron,1992-09-18,Comedy,PG-13,C,Thom Eberhardt,1992,9,18,NO
53,Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,D,George P. Cosmatos,1997,1,31,NO
54,Good Morning Vietnam,1987-12-23,Comedy,R,A,Barry Levinson,1987,12,23,NO
55,Babes in Toyland,2061-12-14,Musical,G,B,NO_DIRECTOR,1961,12,14,NO
56,An Innocent Man,1989-10-06,Drama,R,C,Peter Yates,1989,10,6,NO
57,Summer of Sam,1999-07-02,Drama,R,C,Spike Lee,1999,7,2,NO
58,The Good Dinosaur,2015-11-25,Adventure,PG,B,Peter Sohn,2015,11,25,NO
59,Angels in the Outfield,1994-07-15,Comedy,PG,B,William Dear,1994,7,15,NO
60,Tough Guys,1986-10-03,Comedy,PG,C,Jeff Kanew,1986,10,3,NO
61,Something Wicked This Way Comes,1983-04-29,Horror,PG,D,Jack Clayton,1983,4,29,NO
62,The Rocketeer,1991-06-21,Action,PG,B,Joe Johnston,1991,6,21,NO
63,Stakeout,1987-08-05,Comedy,R,B,John Badham,1987,8,5,YES
64,National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,A,Jon Turteltaub,2007,12,21,NO
65,Terminal Velocity,1994-09-23,Action,PG-13,C,Deran Sarafian,1994,9,23,NO
66,Apocalypto,2006-12-08,Adventure,R,C,Mel Gibson,2006,12,8,NO
67,Invincible,2006-08-25,Drama,PG,B,NO_DIRECTOR,2006,8,25,NO
68,25th Hour,2002-12-19,Drama,R,D,Spike Lee,2002,12,19,NO
69,Mighty Joe Young,1998-12-25,Adventure,PG,B,Ron Underwood,1998,12,25,NO
70,Deceived,1991-09-27,Thriller/Suspense,PG-13,C,NO_DIRECTOR,1991,9,27,NO
71,Never Cry Wolf,1983-10-07,Drama,PG,B,Carroll Ballard,1983,10,7,NO
72,G-Force,2009-07-24,Adventure,PG,B,Hoyt Yeatman,2009,7,24,NO
73,Feast of July,1995-10-13,Drama,R,D,Christopher Menaul,1995,10,13,NO
74,The Lookout,2007-03-30,Drama,R,D,Scott Frank,2007,3,30,NO
75,Cool Runnings,1993-10-01,Comedy,PG,B,Jon Turteltaub,1993,10,1,NO
76,Alice Through the Looking Glass,2016-05-27,Adventure,PG,B,James Bobin,2016,5,27,NO
77,The Devil and Max Devlin,1981-01-01,Fantasy,PG,C,Steven Hilliard Stern,1981,1,1,NO
78,The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,B,Andrew Adamson,2008,5,16,NO
79,The Insider,1999-11-05,Drama,R,C,Michael Mann,1999,11,5,YES
80,Camp Nowhere,1994-08-26,Comedy,PG,C,Jonathan Prince,1994,8,26,NO
81,The Rock,1996-06-07,Action,R,A,Michael Bay,1996,6,7,NO
82,Green Card,1990-12-25,Romantic Comedy,PG-13,C,Peter Weir,1990,12,25,NO
83,Real Steel,2011-10-07,Action,PG-13,B,Shawn Levy,2011,10,7,NO
84,A Kid in King Arthur's Court,1995-08-11,Adventure,PG,C,Michael Gottlieb,1995,8,11,NO
85,The Last Flight of Noah’s Ark,1980-06-25,Adventure,G,C,Charles Jarrott,1980,6,25,NO
86,African Cats,2011-04-22,Documentary,G,D,Alastair Fothergill,2011,4,22,YES
87,Toy Story 3D Double Feature,2009-10-02,Adventure,G,C,NO_DIRECTOR,2009,10,2,NO
88,Into the Woods,2014-12-25,Musical,PG,B,Rob Marshall,2014,12,25,NO
89,Finding Nemo,2003-05-30,Adventure,G,S,Andrew Stanton,2003,5,30,NO
90,The Good Mother,1988-11-04,Drama,R,D,Steve Antin,1988,11,4,NO
91,The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,C,Lasse Hallström,2014,8,8,NO
92,Pearl Harbor,2001-05-25,Action,PG-13,A,Michael Bay,2001,5,25,NO
93,Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,A,Gore Verbinski,2007,5,24,NO
94,Color of Night,1994-08-19,Thriller/Suspense,R,C,Richard Rush,1994,8,19,NO
95,Romy and Michele's High School Reunion,1997-04-25,Comedy,R,C,David Mirkin,1997,4,25,NO
96,Cheetah,1989-08-18,Adventure,UNKNOWN,D,NO_DIRECTOR,1989,8,18,NO
97,Jack,1996-08-09,Drama,PG-13,B,NO_DIRECTOR,1996,8,9,NO
98,Monsters University,2013-06-21,Adventure,G,A,Dan Scanlon,2013,6,21,YES
99,The Fifth Estate,2013-10-18,Drama,R,D,Bill Condon,2013,10,18,NO
100,Before and After,1996-02-23,Drama,PG-13,D,Barbet Schroeder,1996,2,23,YES
101,Moonlight Mile,2002-09-27,Drama,PG-13,D,Brad Silberling,2002,9,27,NO
102,A Stranger Among Us,1992-07-17,Drama,PG-13,C,Sidney Lumet,1992,7,17,NO
103,The Lizzie McGuire Movie,2003-05-02,Comedy,PG,C,Jim Fall,2003,5,2,NO
104,Krippendorf's Tribe,1998-02-27,Comedy,PG-13,D,Todd Holland,1998,2,27,NO
105,crazy/beautiful,2001-06-29,Drama,PG-13,C,NO_DIRECTOR,2001,6,29,YES
106,Adventures in Babysitting,1987-07-03,Comedy,PG-13,B,John Schultz,1987,7,3,NO
107,The Game Plan,2007-09-22,Comedy,PG,B,Andy Fickman,2007,9,22,NO
108,Splash,1984-03-09,Comedy,PG,B,Ron Howard,1984,3,9,NO
109,Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,A,NO_DIRECTOR,1988,6,22,NO
110,The Light Between Oceans,2016-09-02,Drama,PG-13,D,Derek Cianfrance,2016,9,2,NO
111,The Guardian,2006-09-29,Action,PG-13,B,Andrew Davis,2006,9,29,NO
112,The Sword in the Stone,2063-12-25,Adventure,G,B,Wolfgang Reitherman,1963,12,25,NO
113,Mr. Holland's Opus,1995-12-29,Drama,PG,B,Stephen Herek,1995,12,29,NO
114,The Rescuers Down Under,1990-11-16,Adventure,G,C,Mike Gabriel,1990,11,16,NO
115,The Preacher's Wife,1996-12-13,Drama,PG,B,Penny Marshall,1996,12,13,NO
116,Sarafina!,1992-09-18,Drama,PG-13,D,Darrell James Roodt,1992,9,18,NO
117,Trenchcoat,1983-03-11,Comedy,PG,D,Michael Tuchner,1983,3,11,NO
118,Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,C,Sara Sugarman,2004,2,20,NO
119,Around the World in 80 Days,2004-06-16,Adventure,PG,C,NO_DIRECTOR,2004,6,16,NO
120,Blaze,1989-12-13,Drama,R,C,NO_DIRECTOR,1989,12,13,YES
121,Toy Story,1995-11-22,Adventure,G,A,John Lasseter,1995,11,22,NO
122,Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,B,NO_DIRECTOR,2010,5,28,NO
123,Eddie,1996-05-31,Comedy,PG-13,C,NO_DIRECTOR,1996,5,31,NO
124,White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,D,Ken Olin,1994,4,15,NO
125,White Squall,1996-02-02,Adventure,PG-13,D,Ridley Scott,1996,2,2,NO
126,The Invisible,2007-04-27,Thriller/Suspense,PG-13,C,NO_DIRECTOR,2007,4,27,YES
127,Guilty as Sin,1993-06-04,Thriller/Suspense,R,C,Sidney Lumet,1993,6,4,NO
128,Operation Dumbo Drop,1995-07-28,Adventure,PG,C,Simon Wincer,1995,7,28,NO
129,Ghosts of the Abyss,2003-04-11,Documentary,G,C,James Cameron,2003,4,11,NO
130,Scenes from a Mall,1991-02-22,Comedy,R,D,Paul Mazursky,1991,2,22,NO
131,The BFG,2016-07-01,Adventure,PG,C,Steven Spielberg,2016,7,1,NO
132,Tron,1982-07-09,Action,UNKNOWN,B,NO_DIRECTOR,1982,7,9,NO
133,Firelight,1998-09-04,Drama,R,D,William Nicholson,1998,9,4,NO
134,Delivery Man,2013-11-22,Comedy,PG-13,C,Ken Scott,2013,11,22,YES
135,New York Stories,1989-03-01,Drama,PG,C,Francis Ford Coppola,1989,3,1,NO
136,Disorganized Crime,1989-04-14,Comedy,R,D,Jim Kouf,1989,4,14,NO
137,Tom and Huck,1995-12-22,Adventure,PG,C,Peter Hewitt,1995,12,22,NO
138,Keeping the Faith,2000-04-14,Romantic Comedy,PG-13,C,Edward Norton,2000,4,14,NO
139,Grosse Pointe Blank,1997-04-11,Black Comedy,R,C,George Armitage,1997,4,11,YES
140,Indian Summer,1993-04-23,Comedy,R,C,NO_DIRECTOR,1993,4,23,YES
141,The Princess and the Frog,2009-11-25,Adventure,G,B,Ron Clements,2009,11,25,NO
142,Billy Bathgate,1991-11-01,Drama,R,C,Robert Benton,1991,11,1,NO
143,3 Ninjas Kick Back,1994-05-06,Action,PG,C,Charles T. Kanganis,1994,5,6,NO
144,My Boyfriend's Back,1993-08-06,Comedy,PG-13,D,Bob Balaban,1993,8,6,NO
145,Goal! The Dream Begins,2006-05-12,Drama,PG,D,Danny Cannon,2006,5,12,YES
146,Country,1984-09-29,Drama,UNKNOWN,C,NO_DIRECTOR,1984,9,29,YES
147,Big Trouble,2002-04-05,Comedy,PG-13,D,NO_DIRECTOR,2002,4,5,NO
148,People Like Us,2012-06-29,Drama,PG-13,D,Alex Kurtzman,2012,6,29,NO
149,Mars Needs Moms,2011-03-11,Adventure,PG,C,Simon Wells,2011,3,11,NO
150,Angie,1994-03-04,Comedy,R,D,NO_DIRECTOR,1994,3,4,NO
151,Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,R,B,Mike Mitchell,1999,12,10,NO
152,Veronica Guerin,2003-10-17,Drama,R,D,Joel Schumacher,2003,10,17,YES
153,Max Keeble's Big Move,2001-10-05,Comedy,PG,C,Tim Hill,2001,10,5,YES
154,The Scarlet Letter,1995-10-13,Drama,R,C,Roland Joffé,1995,10,13,NO
155,D3: The Mighty Ducks,1996-10-04,Comedy,PG,C,Rob Lieberman,1996,10,4,NO
156,Up,2009-05-29,Adventure,PG,A,NO_DIRECTOR,2009,5,29,NO
157,Alive,1993-01-15,Adventure,R,B,NO_DIRECTOR,1993,1,15,NO
158,Can't Buy Me Love,1987-08-14,Romantic Comedy,PG-13,C,Steve Rash,1987,8,14,NO
159,The Hoax,2007-04-06,Drama,R,D,Lasse Hallström,2007,4,6,NO
160,Fantasia,2040-11-13,Musical,G,S,David Hand,1940,11,13,NO
161,Crimson Tide,1995-05-12,Action,R,B,Tony Scott,1995,5,12,NO
162,Ransom,1996-11-08,Action,R,A,Ron Howard,1996,11,8,NO
163,Pretty Woman,1990-03-23,Romantic Comedy,R,A,Garry Marshall,1990,3,23,YES
164,Inspector Gadget,1999-07-23,Comedy,PG,B,David Kellogg,1999,7,23,NO
165,Winnie the Pooh,2011-07-15,Adventure,G,C,Stephen J. Anderson,2011,7,15,NO
166,The Tigger Movie,2000-02-11,Adventure,G,B,Jun Falkenstein,2000,2,11,YES
167,Heavy Weights,1995-02-17,Comedy,PG,C,Steven Brill,1995,2,17,NO
168,What About Bob?,1991-05-17,Comedy,PG,B,NO_DIRECTOR,1991,5,17,NO
169,Condorman,1981-08-07,Action,G,D,Charles Jarrott,1981,8,7,YES
170,The Haunted Mansion,2003-11-26,Comedy,PG,B,Rob Minkoff,2003,11,26,NO
171,The Hitchhiker's Guide to the Galaxy,2005-04-29,Comedy,PG,C,Garth Jennings,2005,4,29,YES
172,Bedknobs and Broomsticks,2071-10-07,Musical,G,B,Robert Stevenson,1971,10,7,NO
173,Pooh's Heffalump Movie,2005-02-11,Adventure,G,C,Frank Nissen,2005,2,11,NO
174,Open Range,2003-08-15,Western,R,B,Kevin Costner,2003,8,15,NO
175,D.O.A.,1988-03-18,Thriller/Suspense,R,C,Annabel Jankel,1988,3,18,NO
176,Meet the Deedles,1998-03-27,Comedy,PG,D,Steve Boyum,1998,3,27,NO
177,A Beautiful Planet,2016-04-29,Documentary,G,D,Toni Myers,2016,4,29,NO
178,Sister Act,1992-05-29,Comedy,PG,A,Emile Ardolino,1992,5,29,NO
179,Strange Magic,2015-01-23,Adventure,PG,D,Gary Rydstrom,2015,1,23,YES
180,The Many Adventures of Winnie the Pooh,1977-03-11,Animation,G,D,Wolfgang Reitherman,1977,3,11,NO
181,Quiz Show,1994-09-14,Drama,PG-13,C,Robert Redford,1994,9,14,NO
182,While You Were Sleeping,1995-04-21,Romantic Comedy,PG,B,Jon Turteltaub,1995,4,21,NO
183,Bedtime Stories,2008-12-25,Comedy,PG,B,Adam Shankman,2008,12,25,NO
184,"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,A,Andrew Adamson,2005,12,9,NO
185,Instinct,1999-06-04,Drama,R,C,NO_DIRECTOR,1999,6,4,NO
186,Step Up,2006-08-11,Drama,PG-13,B,Anne Fletcher,2006,8,11,NO
187,G.I. Jane,1997-08-22,Drama,R,B,Ridley Scott,1997,8,22,NO
188,Oscar,1991-04-26,Comedy,PG,C,John Landis,1991,4,26,NO
189,The Parent Trap,1998-07-29,Comedy,PG,B,Nancy Meyers,1998,7,29,NO
190,Primeval,2007-01-12,Adventure,R,D,NO_DIRECTOR,2007,1,12,NO
191,The Lone Ranger,2013-07-02,Western,PG-13,B,Gore Verbinski,2013,7,2,YES
192,"Monsters, Inc.",2001-11-02,Adventure,G,A,Pete Docter,2001,11,2,NO
193,Reign of Fire,2002-02-19,Action,PG-13,C,Rob Bowman,2002,2,19,NO
194,Running Brave,1983-11-04,Drama,PG,D,Donald Shebib,1983,11,4,NO
195,Dinosaur,2000-05-19,Adventure,PG,A,Ralph Zondag,2000,5,19,NO
196,Rushmore,1998-12-11,Black Comedy,R,C,Wes Anderson,1998,12,11,NO
197,Freaky Friday,1977-01-21,Comedy,UNKNOWN,B,NO_DIRECTOR,1977,1,21,NO
198,The 13th Warrior,1999-08-27,Action,R,C,John McTiernan,1999,8,27,NO
199,Brave,2012-06-22,Adventure,PG,A,Brenda Chapman,2012,6,22,YES
200,Eight Below,2006-02-17,Adventure,PG,B,Frank Marshall,2006,2,17,YES
201,Gake no ue no Ponyo,2009-08-14,Adventure,G,D,Hayao Miyazaki,2009,8,14,NO
202,Queen of Katwe,2016-09-23,Drama,PG,D,Mira Nair,2016,9,23,YES
203,Straight Talk,1992-04-03,Comedy,PG,C,Barnet Kellman,1992,4,3,YES
204,Holy Man,1998-10-09,Comedy,PG,C,Stephen Herek,1998,10,9,NO
205,The Sorcerer's Apprentice,2010-07-14,Adventure,PG,C,Jon Turteltaub,2010,7,14,NO
206,Stella,1990-02-02,Drama,PG-13,C,NO_DIRECTOR,1990,2,2,NO
207,An American Werewolf in Paris,1997-12-25,Horror,R,C,Anthony Waller,1997,12,25,NO
208,The Mighty Ducks,1992-10-02,Comedy,PG,B,Stephen Herek,1992,10,2,YES
209,Tall Tale,1995-03-24,Western,PG,D,Jeremiah S. Chechik,1995,3,24,YES
210,Tangled,2010-11-24,Adventure,PG,A,Nathan Greno,2010,11,24,YES
211,Ed Wood,1994-09-30,Comedy,R,D,Tim Burton,1994,9,30,NO
212,The Jerky Boys,1995-02-03,Comedy,R,D,James Melkonian,1995,2,3,NO
213,The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,D,Amy Holden Jones,1996,9,13,NO
214,"20,000 Leagues Under the Sea",2054-12-23,Adventure,G,S,Richard Fleischer,1954,12,23,NO
215,Super Mario Bros.,1993-05-28,Action,PG,C,Annabel Jankel,1993,5,28,NO
216,The Proposal,2009-06-19,Romantic Comedy,PG-13,B,Anne Fletcher,2009,6,19,NO
217,Race to Witch Mountain,2009-03-13,Adventure,PG,B,Andy Fickman,2009,3,13,YES
218,The Adventures of Huck Finn,1993-04-02,Adventure,PG,C,Stephen Sommers,1993,4,2,NO
219,Jefferson in Paris,1995-03-31,Drama,PG-13,D,James Ivory,1995,3,31,NO
220,The Jungle Book,2016-04-15,Adventure,PG,A,Wolfgang Reitherman,2016,4,15,NO
221,Sky High,2005-07-29,Adventure,PG,B,Mike Mitchell,2005,7,29,NO
222,Toy Story 2,1999-11-19,Adventure,G,A,John Lasseter,1999,11,19,NO
223,The Rescuers,1977-06-22,Adventure,UNKNOWN,B,Wolfgang Reitherman,1977,6,22,YES
224,Remember the Titans,2000-09-29,Drama,PG,B,Boaz Yakin,2000,9,29,NO
225,A Lot Like Love,2005-04-22,Comedy,PG-13,C,Nigel Cole,2005,4,22,NO
226,3 Ninjas,1992-08-07,Action,PG,C,Jon Turteltaub,1992,8,7,NO
227,Flight of the Navigator,1986-07-30,Adventure,PG,C,Randal Kleiser,1986,7,30,NO
228,America's Heart and Soul,2004-07-02,Documentary,Not Rated,D,Louis Schwartsberg,2004,7,2,NO
