,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,year,month,day,animated
229,Swing Vote,2008-08-01,Comedy,PG-13,D,Joshua Michael Stern,2008,8,1,NO
230,The Straight Story,1999-10-15,Drama,G,D,David Lynch,1999,10,15,NO
231,The Kid,2000-07-07,Comedy,PG,B,NO_DIRECTOR,2000,7,7,NO
232,Enchanted,2007-11-21,Romantic Comedy,PG,B,Kevin Lima,2007,11,21,NO
233,Zootopia,2016-03-04,Adventure,PG,A,Byron Howard,2016,3,4,NO
234,I'll Be Home For Christmas,1998-11-13,Comedy,PG,C,James Brolin,1998,11,13,NO
235,The War at Home,1996-11-20,NO_GENRE,R,D,NO_DIRECTOR,1996,11,20,NO
236,Peter Pan: Return to Neverland,2002-02-15,Adventure,G,B,Robin Budd,2002,2,15,NO
237,Ratatouille,2007-06-29,Comedy,G,A,Brad Bird,2007,6,29,NO
238,Secretariat,2010-10-08,Drama,PG,C,Randall Wallace,2010,10,8,NO
239,Medicine Man,1992-02-07,Drama,PG-13,B,John McTiernan,1992,2,7,NO
240,A Thousand Acres,1997-09-19,Drama,R,D,Jocelyn Moorhouse,1997,9,19,NO
241,Mission to Mars,2000-03-10,Adventure,PG,B,Brian De Palma,2000,3,10,NO
242,Brother Bear,2003-10-24,Adventure,G,B,Robert Walker,2003,10,24,NO
243,Snow White and the Seven Dwarfs,2037-12-21,Musical,G,S,David Hand,1937,12,21,NO
244,Toy Story 3,2010-06-18,Adventure,G,A,Lee Unkrich,2010,6,18,NO
245,Miracle,2004-02-06,Drama,PG,B,NO_DIRECTOR,2004,2,6,NO
246,My Favorite Martian,1999-02-12,Comedy,PG,C,NO_DIRECTOR,1999,2,12,YES
247,Benji the Hunted,1987-06-05,Adventure,G,C,Joe Camp,1987,6,5,NO
248,A Far Off Place,1993-03-12,Adventure,PG,C,Mikael Salomon,1993,3,12,NO
249,Old Dogs,2009-11-25,Comedy,PG,C,Walt Becker,2009,11,25,NO
250,Alice in Wonderland,2010-03-05,Adventure,PG,A,Clyde Geronimi,2010,3,5,NO
251,The Little Mermaid,1989-11-15,Adventure,G,A,Ron Clements,1989,11,15,NO
252,Stick It,2006-04-28,Comedy,PG-13,C,Jessica Bendinger,2006,4,28,NO
253,Funny Bones,1995-03-31,Comedy,R,D,Peter Chelsom,1995,3,31,YES
254,Cars,2006-06-09,Comedy,G,A,John Lasseter,2006,6,9,NO
255,Bicentennial Man,1999-12-17,Drama,PG,B,Chris Columbus,1999,12,17,YES
256,Chimpanzee,2012-04-20,Documentary,G,C,Alastair Fothergill,2012,4,20,NO
257,The Apple Dumpling Gang,1975-07-01,Comedy,G,B,Norman Tokar,1975,7,1,NO
258,The Other Sister,1999-02-26,Romantic Comedy,PG-13,C,Garry Marshall,1999,2,26,NO
259,A Simple Twist of Fate,1994-09-02,Drama,PG-13,D,Gillies MacKinnon,1994,9,2,NO
260,Where the Heart Is,1990-02-23,Comedy,UNKNOWN,D,NO_DIRECTOR,1990,2,23,NO
261,Kaze Tachinu,2013-11-08,Drama,PG-13,D,Mitsuo Wakasugi,2013,11,8,NO
262,Off Beat,1986-04-11,Comedy,PG,D,Michael Dinner,1986,4,11,NO
263,The Greatest Game Ever Played,2005-09-30,Drama,PG,C,Bill Paxton,2005,9,30,NO
264,The Three Musketeers,1993-11-12,Adventure,PG,B,NO_DIRECTOR,1993,11,12,NO
265,A Civil Action,1998-12-25,Drama,PG-13,B,Steven Zaillian,1998,12,25,NO
266,Walt and El Grupo,2009-09-10,Documentary,PG,D,Theodore Thomas,2009,9,10,NO
267,Powder,1995-10-27,Drama,PG-13,C,Victor Salva,1995,10,27,NO
268,1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,D,Ridley Scott,1992,10,9,NO
269,The Cemetery Club,1993-02-03,Comedy,PG-13,D,Bill Duke,1993,2,3,NO
270,Stay Alive,2006-03-24,Horror,PG-13,C,William Brent Bell,2006,3,24,NO
271,That Darn Cat,1997-02-14,Comedy,PG,C,NO_DIRECTOR,1997,2,14,NO
272,The Muppet Christmas Carol,1992-12-11,Comedy,G,C,Brian Henson,1992,12,11,YES
273,Step Up 2 the Streets,2008-02-14,Drama,PG-13,C,Jon M. Chu,2008,2,14,YES
274,Fantasia 2000 (Theatrical Release),2000-06-16,Musical,G,D,NO_DIRECTOR,2000,6,16,NO
275,The Santa Clause 2,2002-11-01,Comedy,G,A,Michael Lembeck,2002,11,1,YES
276,The Recruit,2003-01-31,Thriller/Suspense,PG-13,B,Roger Donaldson,2003,1,31,NO
277,Money for Nothing,1993-09-10,Comedy,R,D,Ramón Menéndez,1993,9,10,NO
278,Bad Company,1995-01-20,Thriller/Suspense,R,D,NO_DIRECTOR,1995,1,20,NO
279,I Love Trouble,1994-06-29,Romantic Comedy,PG,C,Charles Shyer,1994,6,29,YES
280,The Absent Minded Professor,2061-03-16,Comedy,G,A,Robert Stevenson,1961,3,16,NO
281,Jungle 2 Jungle,1997-03-07,Comedy,PG,B,John Pasquin,1997,3,7,NO
282,Tex,1982-11-19,Drama,UNKNOWN,C,NO_DIRECTOR,1982,11,19,NO
283,Life With Mikey,1993-06-04,Comedy,PG,C,James Lapine,1993,6,4,NO
284,Gone Fishin',1997-05-30,Comedy,PG,C,Riley Cairns,1997,5,30,NO
285,Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,S,Gareth Edwards,2016,12,16,NO
286,The Marrying Man,1991-04-05,Romantic Comedy,R,C,Jerry Rees,1991,4,5,NO
287,Bubble Boy,2001-08-24,Comedy,PG-13,D,Blair Hayes,2001,8,24,YES
288,Baby: Secret of the Lost Legend,1985-03-22,Adventure,PG,C,Bill L. Norton,1985,3,22,NO
289,The Fox and the Hound,1981-07-10,Comedy,G,B,Art Stevens,1981,7,10,NO
290,High Heels and Low Lifes,2001-10-26,Action,R,D,Mel Smith,2001,10,26,NO
291,The Tie That Binds,1995-09-08,Thriller/Suspense,R,D,Wesley Strick,1995,9,8,NO
292,John Carter,2012-03-09,Adventure,PG-13,B,Andrew Stanton,2012,3,9,NO
293,Blank Check,1994-02-11,Comedy,PG,C,Rupert Wainwright,1994,2,11,NO
294,Guardians of the Galaxy,2014-08-01,Adventure,PG-13,A,James Gunn,2014,8,1,NO
295,Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,S,Unknown,2015,12,18,NO
296,A Goofy Movie,1995-04-07,Comedy,G,C,Kevin Lima,1995,4,7,NO
297,Hocus Pocus,1993-07-16,Comedy,PG,B,NO_DIRECTOR,1993,7,16,YES
298,Pete’s Dragon,2016-08-12,Adventure,PG,B,NO_DIRECTOR,2016,8,12,NO
299,Night Crossing,1982-02-05,Drama,PG,D,Delbert Mann,1982,2,5,NO
300,Lilo & Stitch,2002-06-21,Adventure,PG,A,Chris Sanders,2002,6,21,NO
301,Metro,1997-01-17,Action,R,C,Thomas Carter,1997,1,17,NO
302,National Treasure,2004-11-19,Adventure,PG,A,Jon Turteltaub,2004,11,19,NO
303,Shanghai Noon,2000-05-26,Western,PG-13,B,Tom Dey,2000,5,26,NO
304,Dangerous Minds,1995-08-11,Drama,R,B,John N. Smith,1995,8,11,YES
305,The Distinguished Gentleman,1992-12-04,Comedy,R,B,Jonathan Lynn,1992,12,4,NO
306,The Secret World of Arietty,2012-02-17,Adventure,G,C,NO_DIRECTOR,2012,2,17,NO
307,The Princess Diaries,2001-08-03,Comedy,G,B,Garry Marshall,2001,8,3,YES
308,Step Up 3D,2010-08-06,Drama,PG-13,C,Jon M. Chu,2010,8,6,NO
309,Underdog,2007-08-03,Adventure,PG,C,NO_DIRECTOR,2007,8,3,NO
310,Red Rock West,1994-01-28,Crime,R,D,John Dahl,1994,1,28,NO
311,Captain America: Civil War,2016-05-06,Action,PG-13,A,Anthony Russo,2016,5,6,YES
312,Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,C,NO_DIRECTOR,1996,2,16,NO
313,Nixon,1995-12-20,Drama,R,C,Oliver Stone,1995,12,20,NO
314,The Ref,1994-03-09,Comedy,R,C,Ted Demme,1994,3,9,YES
315,The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,B,Michael Lembeck,2006,11,3,NO
316,Ice Princess,2005-03-18,Comedy,G,C,Tim Fywell,2005,3,18,NO
317,King Arthur,2004-07-07,Adventure,PG-13,B,NO_DIRECTOR,2004,7,7,NO
318,Nothing To Lose,1997-07-18,Comedy,R,B,Steve Oedekerk,1997,7,18,NO
319,Herbie: Fully Loaded,2005-06-22,Comedy,G,B,Angela Robinson,2005,6,22,NO
320,Father of the Bride,1991-12-20,Comedy,PG,B,NO_DIRECTOR,1991,12,20,YES
321,You Again,2010-09-24,Comedy,PG,C,Andy Fickman,2010,9,24,NO
322,Treasure Planet,2002-11-27,Adventure,PG,C,Ron Clements,2002,11,27,NO
323,The Great Mouse Detective,1986-07-02,Adventure,G,C,Ron Clements,1986,7,2,YES
324,Cinderella,2015-03-13,Drama,PG,A,Wilfred Jackson,2015,3,13,NO
325,Frozen,2013-11-22,Adventure,PG,A,Chris Buck,2013,11,22,NO
326,Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,A,Rob Marshall,2011,5,20,NO
327,Zokkomon,2011-04-22,Adventure,PG,D,Satyajit Bhatkal,2011,4,22,NO
328,Gross Anatomy,1989-10-20,Drama,PG-13,C,Thom Eberhardt,1989,10,20,NO
329,The Incredibles,2004-11-05,Adventure,PG,A,Brad Bird,2004,11,5,NO
330,Frank McKlusky C.I.,2002-01-01,Action,PG-13,D,Arlene Sanford,2002,1,1,NO
331,Taking Care of Business,1990-08-17,Comedy,R,C,Arthur Hiller,1990,8,17,NO
332,Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,PG,C,NO_DIRECTOR,2006,10,20,NO
333,Cocktail,1988-07-29,Drama,R,B,Roger Donaldson,1988,7,29,NO
334,Gun Shy,2000-02-04,Comedy,R,D,NO_DIRECTOR,2000,2,4,NO
335,Mr. Destiny,1990-10-12,Comedy,PG-13,C,James Orr,1990,10,12,NO
336,Herbie Goes to Monte Carlo,1977-06-24,Romance,G,B,Vincent McEveety,1977,6,24,NO
337,Evita,1996-12-25,Musical,PG,B,Alan Parker,1996,12,25,NO
338,Dark Water,2005-07-08,Thriller/Suspense,PG-13,C,Walter Salles,2005,7,8,NO
339,Piglet's Big Movie,2003-03-21,Comedy,G,C,Francis Glebas,2003,3,21,YES
340,Kazaam,1996-07-17,Comedy,PG,C,Paul Michael Glaser,1996,7,17,NO
341,Déjà Vu,2006-11-22,Thriller/Suspense,PG-13,B,Tony Scott,2006,11,22,NO
342,Waking Sleeping Beauty,2010-03-26,Documentary,PG,D,Don Hahn,2010,3,26,NO
343,The Count of Monte Cristo,2002-01-25,Drama,PG-13,B,Kevin Reynolds,2002,1,25,YES
344,The Program,1993-09-24,Action,R,C,Stephen Frears,1993,9,24,NO
345,When in Rome,2010-01-29,Romantic Comedy,PG-13,C,Mark Steven Johnson,2010,1,29,NO
346,Born Yesterday,1993-03-26,Romantic Comedy,PG,C,NO_DIRECTOR,1993,3,26,NO
347,The Alamo,2004-04-09,Western,PG-13,C,NO_DIRECTOR,2004,4,9,NO
348,Mad Love,1995-05-26,Drama,PG-13,C,NO_DIRECTOR,1995,5,26,NO
349,Armageddon,1998-07-01,Adventure,PG-13,A,Michael Bay,1998,7,1,YES
350,Air Bud,1997-08-01,Comedy,PG,C,Charles Martin Smith,1997,8,1,NO
351,Fire Birds,1990-05-24,Action,PG-13,C,David Green,1990,5,24,NO
352,The Black Cauldron,1985-07-24,Adventure,PG,C,Ted Berman,1985,7,24,NO
353,Oz the Great and Powerful,2013-03-08,Adventure,PG,A,Sam Raimi,2013,3,8,NO
354,Two Much,1996-03-15,Romantic Comedy,PG-13,D,Fernando Trueba,1996,3,15,NO
355,102 Dalmatians,2000-11-22,Comedy,G,B,Kevin Lima,2000,11,22,NO
356,The Pacifier,2005-03-04,Comedy,PG,B,Adam Shankman,2005,3,4,NO
357,Prom,2011-04-29,Comedy,PG,D,NO_DIRECTOR,2011,4,29,NO
358,Un indien dans la ville,1996-03-22,Comedy,PG,D,NO_DIRECTOR,1996,3,22,NO
359,Annapolis,2006-01-27,Drama,PG-13,C,Justin Lin,2006,1,27,YES
360,The Country Bears,2002-07-26,Adventure,G,C,Peter Hastings,2002,7,26,NO
361,Planes: Fire and Rescue,2014-07-18,Adventure,PG,C,Roberts Gannaway,2014,7,18,NO
362,Tin Men,1987-03-06,Comedy,R,C,Barry Levinson,1987,3,6,NO
363,Renaissance Man,1994-06-03,Comedy,PG-13,C,Penny Marshall,1994,6,3,YES
364,Playing God,1997-10-17,Thriller/Suspense,R,D,NO_DIRECTOR,1997,10,17,NO
365,Phenomenon,1996-07-05,Drama,PG,B,NO_DIRECTOR,1996,7,5,NO
366,Gnomeo and Juliet,2011-02-11,Comedy,G,B,Kelly Asbury,2011,2,11,NO
367,The Color of Money,1986-10-17,Drama,R,B,Martin Scorsese,1986,10,17,NO
368,Blackbeard's Ghost,2068-02-08,Comedy,G,B,Robert Stevenson,1968,2,8,YES
369,Ernest Scared Stupid,1991-10-11,Comedy,PG,C,John R. Cherry III,1991,10,11,NO
370,The Emperor's New Groove,2000-12-15,Adventure,G,B,Mark Dindal,2000,12,15,YES
371,Double Take,2001-01-12,Action,PG-13,C,George Gallo,2001,1,12,NO
372,Rocket Man,1997-10-10,Comedy,PG,C,Oscar Rudolph,1997,10,10,NO
373,Mulan,1998-06-19,Adventure,G,A,Barry Cook,1998,6,19,YES
374,Song of the South,2046-11-12,Adventure,G,S,Wilfred Jackson,1946,11,12,NO
375,The Black Hole,1979-12-21,Adventure,PG,B,Gary Nelson,1979,12,21,YES
376,Raising Helen,2004-05-28,Comedy,PG-13,C,Garry Marshall,2004,5,28,NO
377,A Gun in Betty Lou's Handbag,1992-08-21,Comedy,PG-13,D,Allan Moyle,1992,8,21,YES
378,The Air Up There,1994-01-07,Comedy,PG,C,Paul Michael Glaser,1994,1,7,NO
379,Roommates,1995-03-03,Comedy,PG,C,NO_DIRECTOR,1995,3,3,NO
380,Morning Light,2008-10-17,Documentary,PG,D,Mark Monroe,2008,10,17,NO
381,Valiant,2005-08-19,Adventure,G,C,Gary Chapman,2005,8,19,NO
382,Down and Out in Beverly Hills,1986-01-31,Comedy,R,B,Paul Mazursky,1986,1,31,NO
383,Tarzan,1999-06-16,Adventure,G,A,Chris Buck,1999,6,16,NO
384,The Royal Tenenbaums,2001-12-14,Black Comedy,R,B,Wes Anderson,2001,12,14,NO
385,James and the Giant Peach,1996-04-12,Adventure,PG,C,Henry Selick,1996,4,12,NO
386,"Mystery, Alaska",1999-10-01,Comedy,R,D,Jay Roach,1999,10,1,NO
387,Last Dance,1996-05-03,Drama,R,D,NO_DIRECTOR,1996,5,3,YES
388,My Science Project,1985-08-09,Comedy,PG,D,Jonathan R. Betuel,1985,8,9,
389,Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,C,David R. Ellis,1996,3,8,
390,The Muppets,2011-11-23,Comedy,PG,B,James Bobin,2011,11,23,
391,Turner & Hooch,1989-07-28,Comedy,PG,B,NO_DIRECTOR,1989,7,28,
392,Oceans,2010-04-22,Documentary,G,C,NO_DIRECTOR,2010,4,22,
393,It's Pat,1994-08-26,Comedy,PG-13,D,Adam Bernstein,1994,8,26,
394,The Finest Hours,2016-01-29,Thriller/Suspense,PG,C,Craig Gillespie,2016,1,29,
395,Shoot to Kill,1988-02-12,Action,R,C,Roger Spottiswoode,1988,2,12,
396,Hannah Montana the Movie,2009-04-10,Drama,G,B,Peter Chelsom,2009,4,10,
397,First Kid,1996-08-30,Comedy,PG,C,David M. Evans,1996,8,30,
398,Consenting Adults,1992-10-16,Drama,R,C,Alan J. Pakula,1992,10,16,
399,Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,C,Peter Hedges,2007,10,20,
400,Sorority Boys,2002-03-22,Comedy,R,D,Wallace Wolodarsky,2002,3,22,
401,Simon Birch,1998-09-11,Drama,PG,C,Mark Steven Johnson,1998,9,11,
402,In the Army Now,1994-08-12,Comedy,PG,C,Daniel Petrie Jr.,1994,8,12,
403,Bad Company,2002-06-07,Action,PG-13,C,Joel Schumacher,2002,6,7,
404,Wreck-It Ralph,2012-11-02,Adventure,PG,A,Rich Moore,2012,11,2,
405,Iron Man 3,2013-05-03,Action,PG-13,A,Shane Black,2013,5,3,
406,Cinderella,2050-02-15,Drama,G,S,Wilfred Jackson,1950,2,15,
407,One Magic Christmas,1985-11-22,Drama,G,C,Phillip Borsos,1985,11,22,
408,Beverly Hills Chihuahua,2008-10-03,Comedy,PG,B,Raja Gosnell,2008,10,3,
409,WALL-E,2008-06-27,Adventure,G,A,Andrew Stanton,2008,6,27,
410,Aladdin,1992-11-11,Comedy,G,A,Ron Clements,1992,11,11,
411,Casanova,2005-12-25,Drama,R,D,Lasse Hallström,2005,12,25,
412,Thor: The Dark World,2013-11-08,Adventure,PG-13,A,Alan Taylor,2013,11,8,
413,Monkey Kingdom,2015-04-17,Documentary,G,D,Alastair Fothergill,2015,4,17,
414,Ernest Saves Christmas,1988-11-11,Comedy,PG,C,John R. Cherry III,1988,11,11,
415,Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,B,NO_DIRECTOR,2008,2,1,
416,Saving Mr. Banks,2013-12-13,Drama,PG-13,B,John Lee Hancock,2013,12,13,
417,The Aristocats,2070-04-24,Musical,G,A,Wolfgang Reitherman,1970,4,24,
418,Calendar Girls,2003-12-19,Comedy,PG-13,C,Nigel Cole,2003,12,19,
419,Unstrung Heroes,1995-09-15,Drama,PG,D,Diane Keaton,1995,9,15,
420,Three Fugitives,1989-01-27,Comedy,PG-13,B,Francis Veber,1989,1,27,
421,Tomorrowland,2015-05-22,Adventure,PG,B,Brad Bird,2015,5,22,
422,The Village,2004-07-30,Thriller/Suspense,PG-13,B,M. Night Shyamalan,2004,7,30,
423,"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,C,Miguel Arteta,2014,10,10,
424,Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,B,Frank Marshall,1990,7,18,
425,Lincoln,2012-11-09,Drama,PG-13,B,NO_DIRECTOR,2012,11,9,
426,The Horse Whisperer,1998-05-15,Drama,PG-13,B,Robert Redford,1998,5,15,
427,Muppets Most Wanted,2014-03-21,Comedy,PG,C,James Bobin,2014,3,21,
428,Fantasia 2000 (IMAX),2000-01-01,Musical,G,B,Unknown,2000,1,1,
429,Spaced Invaders,1990-04-27,Comedy,PG,C,Patrick Read Johnson,1990,4,27,
430,Just Visiting,2001-04-06,Comedy,PG-13,D,Jean-Marie Poiré,2001,4,6,
431,Holes,2003-04-18,Drama,PG,B,Andrew Davis,2003,4,18,
432,The Last Shot,2004-09-24,Comedy,R,D,NO_DIRECTOR,2004,9,24,
433,The Jungle Book,2067-10-18,Musical,Not Rated,S,NO_DIRECTOR,1967,10,18,
434,Meet the Robinsons,2007-03-30,Adventure,G,B,Stephen J. Anderson,2007,3,30,
435,Dead Poets Society,1989-06-02,Drama,PG,A,Peter Weir,1989,6,2,
436,Avengers: Age of Ultron,2015-05-01,Action,PG-13,A,Joss Whedon,2015,5,1,
437,Man of the House,1995-03-03,Comedy,PG,B,NO_DIRECTOR,1995,3,3,
438,Bears,2014-04-18,Documentary,G,D,NO_DIRECTOR,2014,4,18,
439,Passed Away,1992-04-24,Comedy,PG-13,D,Charlie Peters,1992,4,24,
440,ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,D,Unknown,2002,5,10,
441,Atlantis: The Lost Empire,2001-06-08,Adventure,PG,B,Gary Trousdale,2001,6,8,
442,Ernest Goes to Camp,1987-05-22,Comedy,PG,C,John R. Cherry III,1987,5,22,
443,Teacher's Pet: The Movie,2004-01-16,Comedy,PG,D,Unknown,2004,1,16,
444,Spy Hard,1996-05-24,Comedy,PG-13,C,Rick Friedberg,1996,5,24,
445,Snow Dogs,2002-01-18,Comedy,PG,B,Brian Levant,2002,1,18,
446,Frankenweenie,2012-10-05,Comedy,PG,C,Tim Burton,2012,10,5,
447,Tuck Everlasting,2002-10-11,Drama,PG,C,Jay Russell,2002,10,11,
448,Hauru no ugoku shiro,2005-06-10,Adventure,PG,D,Hayao Miyazaki,2005,6,10,
449,Gedo Senki (Tales from Earthsea),2010-08-13,Adventure,PG-13,D,NO_DIRECTOR,2010,8,13,
450,Return to Oz,1985-06-21,Adventure,G,C,Walter Murch,1985,6,21,
451,Disney's A Christmas Carol,2009-11-06,Drama,PG,B,Robert Zemeckis,2009,11,6,
452,Prefontaine,1997-01-24,Drama,PG-13,D,Steve James,1997,1,24,
453,Beaches,1988-12-21,Drama,PG-13,B,Garry Marshall,1988,12,21,
454,101 Dalmatians,2061-01-25,Comedy,G,S,NO_DIRECTOR,1961,1,25,
455,The Last Song,2010-03-31,Drama,PG,C,Julie Anne Robinson,2010,3,31,
456,Father Hood,1993-08-27,Action,PG-13,D,Darrell James Roodt,1993,8,27,
457,Encino Man,1992-05-22,Comedy,PG,B,Les Mayfield,1992,5,22,
458,Sweet Home Alabama,2002-09-27,Comedy,PG-13,B,Andy Tennant,2002,9,27,
459,Play it to the Bone,1999-12-24,Comedy,R,D,Ron Shelton,1999,12,24,
460,The Odd Life of Timothy Green,2012-08-15,Drama,PG,C,Peter Hedges,2012,8,15,
461,Honey I Blew Up the Kid,1992-07-17,Comedy,PG,B,Randal Kleiser,1992,7,17,
462,Hercules,1997-06-13,Adventure,G,B,Ron Clements,1997,6,13,
